,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Construction of a human cell landscape at single-cell level,fibroblast,CL:0000057,Donor22,female,Han Chinese,23-year-old human stage,10,0.06629980773055759
1,Construction of a human cell landscape at single-cell level,epithelial cell,CL:0000066,Donor22,female,Han Chinese,23-year-old human stage,11014,73.02260823443612
2,Construction of a human cell landscape at single-cell level,T cell,CL:0000084,Donor22,female,Han Chinese,23-year-old human stage,29,0.192269442418617
3,Construction of a human cell landscape at single-cell level,endothelial cell,CL:0000115,Donor22,female,Han Chinese,23-year-old human stage,1245,8.25432606245442
4,Construction of a human cell landscape at single-cell level,smooth muscle cell,CL:0000192,Donor22,female,Han Chinese,23-year-old human stage,169,1.1204667506464232
5,Construction of a human cell landscape at single-cell level,macrophage,CL:0000235,Donor22,female,Han Chinese,23-year-old human stage,1947,12.908572565139561
6,Construction of a human cell landscape at single-cell level,B cell,CL:0000236,Donor22,female,Han Chinese,23-year-old human stage,5,0.033149903865278794
7,Construction of a human cell landscape at single-cell level,dendritic cell,CL:0000451,Donor22,female,Han Chinese,23-year-old human stage,22,0.14585957700722668
8,Construction of a human cell landscape at single-cell level,stromal cell,CL:0000499,Donor22,female,Han Chinese,23-year-old human stage,209,1.3856659815686534
9,Construction of a human cell landscape at single-cell level,neuron,CL:0000540,Donor22,female,Han Chinese,23-year-old human stage,27,0.17900948087250546
10,Construction of a human cell landscape at single-cell level,monocyte,CL:0000576,Donor22,female,Han Chinese,23-year-old human stage,8,0.053039846184446064
11,Construction of a human cell landscape at single-cell level,myeloid cell,CL:0000763,Donor22,female,Han Chinese,23-year-old human stage,62,0.41105880792945704
12,Construction of a human cell landscape at single-cell level,plasma cell,CL:0000786,Donor22,female,Han Chinese,23-year-old human stage,324,2.1481137704700655
13,Construction of a human cell landscape at single-cell level,alternatively activated macrophage,CL:0000890,Donor22,female,Han Chinese,23-year-old human stage,12,0.0795597692766691
