,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Fallopian tube RNA,ciliated epithelial cell,CL:0000067,D1_3041,female,European,70-year-old human stage,13,2.9345372460496613
1,Fallopian tube RNA,mast cell,CL:0000097,D1_3041,female,European,70-year-old human stage,3,0.6772009029345373
2,Fallopian tube RNA,endothelial cell,CL:0000115,D1_3041,female,European,70-year-old human stage,5,1.1286681715575622
3,Fallopian tube RNA,secretory cell,CL:0000151,D1_3041,female,European,70-year-old human stage,48,10.835214446952596
4,Fallopian tube RNA,smooth muscle cell,CL:0000192,D1_3041,female,European,70-year-old human stage,23,5.191873589164786
5,Fallopian tube RNA,macrophage,CL:0000235,D1_3041,female,European,70-year-old human stage,31,6.997742663656885
6,Fallopian tube RNA,B cell,CL:0000236,D1_3041,female,European,70-year-old human stage,7,1.580135440180587
7,Fallopian tube RNA,stromal cell,CL:0000499,D1_3041,female,European,70-year-old human stage,283,63.88261851015802
8,Fallopian tube RNA,natural killer cell,CL:0000623,D1_3041,female,European,70-year-old human stage,18,4.063205417607223
9,Fallopian tube RNA,pericyte,CL:0000669,D1_3041,female,European,70-year-old human stage,10,2.2573363431151243
10,Fallopian tube RNA,endothelial cell of lymphatic vessel,CL:0002138,D1_3041,female,European,70-year-old human stage,2,0.4514672686230248
