,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,All — Cells of the adult human heart,native cell,CL:0000003,D11,female,European,seventh decade human stage,824,4.447082951049706
1,All — Cells of the adult human heart,fibroblast,CL:0000057,D11,female,European,seventh decade human stage,1536,8.289708025257704
2,All — Cells of the adult human heart,mast cell,CL:0000097,D11,female,European,seventh decade human stage,16,0.08635112526310108
3,All — Cells of the adult human heart,endothelial cell,CL:0000115,D11,female,European,seventh decade human stage,1493,8.05763937611312
4,All — Cells of the adult human heart,smooth muscle cell,CL:0000192,D11,female,European,seventh decade human stage,801,4.322953208483998
5,All — Cells of the adult human heart,macrophage,CL:0000235,D11,female,European,seventh decade human stage,984,5.310594203680717
6,All — Cells of the adult human heart,B cell,CL:0000236,D11,female,European,seventh decade human stage,35,0.18889308651303363
7,All — Cells of the adult human heart,dendritic cell,CL:0000451,D11,female,European,seventh decade human stage,19,0.10254196124993255
8,All — Cells of the adult human heart,monocyte,CL:0000576,D11,female,European,seventh decade human stage,121,0.6530303848022019
9,All — Cells of the adult human heart,natural killer cell,CL:0000623,D11,female,European,seventh decade human stage,174,0.9390684872362243
10,All — Cells of the adult human heart,pericyte,CL:0000669,D11,female,European,seventh decade human stage,3066,16.547034378541746
11,All — Cells of the adult human heart,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,D11,female,European,seventh decade human stage,34,0.1834961411840898
12,All — Cells of the adult human heart,mature NK T cell,CL:0000814,D11,female,European,seventh decade human stage,59,0.31841977440768526
13,All — Cells of the adult human heart,"activated CD4-positive, alpha-beta T cell",CL:0000896,D11,female,European,seventh decade human stage,76,0.4101678449997302
14,All — Cells of the adult human heart,"activated CD8-positive, alpha-beta T cell",CL:0000906,D11,female,European,seventh decade human stage,73,0.3939770090128987
15,All — Cells of the adult human heart,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,D11,female,European,seventh decade human stage,141,0.7609692913810784
16,All — Cells of the adult human heart,CD14-positive monocyte,CL:0001054,D11,female,European,seventh decade human stage,123,0.6638242754600896
17,All — Cells of the adult human heart,regular ventricular cardiac myocyte,CL:0002131,D11,female,European,seventh decade human stage,1223,6.60046413729829
18,All — Cells of the adult human heart,endothelial cell of lymphatic vessel,CL:0002138,D11,female,European,seventh decade human stage,86,0.46413729828916833
19,All — Cells of the adult human heart,capillary endothelial cell,CL:0002144,D11,female,European,seventh decade human stage,5469,29.515894003993743
20,All — Cells of the adult human heart,neural cell,CL:0002319,D11,female,European,seventh decade human stage,42,0.22667170381564036
21,All — Cells of the adult human heart,"CD14-positive, CD16-positive monocyte",CL:0002397,D11,female,European,seventh decade human stage,132,0.7123967834205839
22,All — Cells of the adult human heart,vein endothelial cell,CL:0002543,D11,female,European,seventh decade human stage,764,4.123266231313076
23,All — Cells of the adult human heart,epicardial adipocyte,CL:1000309,D11,female,European,seventh decade human stage,199,1.0739921204598197
24,All — Cells of the adult human heart,endothelial cell of artery,CL:1000413,D11,female,European,seventh decade human stage,1039,5.607426196772627
