,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,B cell,CL:0000236,ICC-C-1117,unknown,unknown,human adult stage,405,14.004149377593361
1,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,natural killer cell,CL:0000623,ICC-C-1117,unknown,unknown,human adult stage,137,4.737206085753804
2,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,"CD4-positive, alpha-beta T cell",CL:0000624,ICC-C-1117,unknown,unknown,human adult stage,946,32.71092669432918
3,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,"CD8-positive, alpha-beta T cell",CL:0000625,ICC-C-1117,unknown,unknown,human adult stage,249,8.609958506224066
4,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,plasmacytoid dendritic cell,CL:0000784,ICC-C-1117,unknown,unknown,human adult stage,50,1.7289073305670817
5,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,gamma-delta T cell,CL:0000798,ICC-C-1117,unknown,unknown,human adult stage,136,4.702627939142462
6,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,classical monocyte,CL:0000860,ICC-C-1117,unknown,unknown,human adult stage,770,26.625172890733058
7,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,non-classical monocyte,CL:0000875,ICC-C-1117,unknown,unknown,human adult stage,74,2.5587828492392806
8,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,plasmablast,CL:0000980,ICC-C-1117,unknown,unknown,human adult stage,3,0.1037344398340249
9,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,conventional dendritic cell,CL:0000990,ICC-C-1117,unknown,unknown,human adult stage,116,4.011065006915629
10,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,progenitor cell,CL:0011026,ICC-C-1117,unknown,unknown,human adult stage,6,0.2074688796680498
