,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,All — Cells of the adult human heart,native cell,CL:0000003,D7,male,European,seventh decade human stage,331,3.1496812256161384
1,All — Cells of the adult human heart,fibroblast,CL:0000057,D7,male,European,seventh decade human stage,640,6.090018079741174
2,All — Cells of the adult human heart,mesothelial cell,CL:0000077,D7,male,European,seventh decade human stage,36,0.3425635169854411
3,All — Cells of the adult human heart,mast cell,CL:0000097,D7,male,European,seventh decade human stage,14,0.1332191454943382
4,All — Cells of the adult human heart,endothelial cell,CL:0000115,D7,male,European,seventh decade human stage,287,2.730992482633933
5,All — Cells of the adult human heart,smooth muscle cell,CL:0000192,D7,male,European,seventh decade human stage,114,1.0847844704538967
6,All — Cells of the adult human heart,macrophage,CL:0000235,D7,male,European,seventh decade human stage,356,3.3875725568560284
7,All — Cells of the adult human heart,B cell,CL:0000236,D7,male,European,seventh decade human stage,55,0.5233609287277572
8,All — Cells of the adult human heart,dendritic cell,CL:0000451,D7,male,European,seventh decade human stage,55,0.5233609287277572
9,All — Cells of the adult human heart,monocyte,CL:0000576,D7,male,European,seventh decade human stage,72,0.6851270339708821
10,All — Cells of the adult human heart,natural killer cell,CL:0000623,D7,male,European,seventh decade human stage,76,0.7231896469692645
11,All — Cells of the adult human heart,pericyte,CL:0000669,D7,male,European,seventh decade human stage,596,5.671329336758968
12,All — Cells of the adult human heart,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,D7,male,European,seventh decade human stage,94,0.894471405461985
13,All — Cells of the adult human heart,mature NK T cell,CL:0000814,D7,male,European,seventh decade human stage,38,0.36159482348463223
14,All — Cells of the adult human heart,"activated CD4-positive, alpha-beta T cell",CL:0000896,D7,male,European,seventh decade human stage,20,0.1903130649919117
15,All — Cells of the adult human heart,"activated CD8-positive, alpha-beta T cell",CL:0000906,D7,male,European,seventh decade human stage,33,0.3140165572366543
16,All — Cells of the adult human heart,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,D7,male,European,seventh decade human stage,105,0.9991435912075365
17,All — Cells of the adult human heart,CD14-positive monocyte,CL:0001054,D7,male,European,seventh decade human stage,58,0.5519078884765439
18,All — Cells of the adult human heart,regular atrial cardiac myocyte,CL:0002129,D7,male,European,seventh decade human stage,1325,12.60824055571415
19,All — Cells of the adult human heart,endothelial cell of lymphatic vessel,CL:0002138,D7,male,European,seventh decade human stage,13,0.12370349224474261
20,All — Cells of the adult human heart,capillary endothelial cell,CL:0002144,D7,male,European,seventh decade human stage,502,4.776857931296983
21,All — Cells of the adult human heart,neural cell,CL:0002319,D7,male,European,seventh decade human stage,56,0.5328765819773528
