,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Lymphoid cells,native cell,CL:0000003,F29,female,unknown,17th week post-fertilization human stage,113,1.5969474279253815
1,Lymphoid cells,hematopoietic stem cell,CL:0000037,F29,female,unknown,17th week post-fertilization human stage,47,0.6642170717919729
2,Lymphoid cells,common myeloid progenitor,CL:0000049,F29,female,unknown,17th week post-fertilization human stage,15,0.21198417184850196
3,Lymphoid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F29,female,unknown,17th week post-fertilization human stage,5,0.07066139061616733
4,Lymphoid cells,T cell,CL:0000084,F29,female,unknown,17th week post-fertilization human stage,28,0.395703787450537
5,Lymphoid cells,granulocyte monocyte progenitor cell,CL:0000557,F29,female,unknown,17th week post-fertilization human stage,3,0.0423968343697004
6,Lymphoid cells,promonocyte,CL:0000559,F29,female,unknown,17th week post-fertilization human stage,4,0.05652911249293386
7,Lymphoid cells,natural killer cell,CL:0000623,F29,female,unknown,17th week post-fertilization human stage,113,1.5969474279253815
8,Lymphoid cells,mature B cell,CL:0000785,F29,female,unknown,17th week post-fertilization human stage,18,0.25438100621820237
9,Lymphoid cells,plasma cell,CL:0000786,F29,female,unknown,17th week post-fertilization human stage,1,0.014132278123233465
10,Lymphoid cells,regulatory T cell,CL:0000815,F29,female,unknown,17th week post-fertilization human stage,4,0.05652911249293386
11,Lymphoid cells,B-1 B cell,CL:0000819,F29,female,unknown,17th week post-fertilization human stage,38,0.5370265686828717
12,Lymphoid cells,B-2 B cell,CL:0000822,F29,female,unknown,17th week post-fertilization human stage,219,3.094968908988129
13,Lymphoid cells,pro-B cell,CL:0000826,F29,female,unknown,17th week post-fertilization human stage,1049,14.824759751271904
14,Lymphoid cells,promyelocyte,CL:0000836,F29,female,unknown,17th week post-fertilization human stage,1,0.014132278123233465
15,Lymphoid cells,hematopoietic multipotent progenitor cell,CL:0000837,F29,female,unknown,17th week post-fertilization human stage,30,0.4239683436970039
16,Lymphoid cells,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F29,female,unknown,17th week post-fertilization human stage,69,0.975127190503109
17,Lymphoid cells,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F29,female,unknown,17th week post-fertilization human stage,16,0.22611644997173544
18,Lymphoid cells,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F29,female,unknown,17th week post-fertilization human stage,1,0.014132278123233465
19,Lymphoid cells,early lymphoid progenitor,CL:0000936,F29,female,unknown,17th week post-fertilization human stage,18,0.25438100621820237
20,Lymphoid cells,small pre-B-II cell,CL:0000954,F29,female,unknown,17th week post-fertilization human stage,2068,29.22555115884681
21,Lymphoid cells,large pre-B-II cell,CL:0000957,F29,female,unknown,17th week post-fertilization human stage,2563,36.22102882984738
22,Lymphoid cells,innate lymphoid cell,CL:0001065,F29,female,unknown,17th week post-fertilization human stage,2,0.02826455624646693
23,Lymphoid cells,group 2 innate lymphoid cell,CL:0001069,F29,female,unknown,17th week post-fertilization human stage,4,0.05652911249293386
24,Lymphoid cells,group 3 innate lymphoid cell,CL:0001071,F29,female,unknown,17th week post-fertilization human stage,6,0.0847936687394008
25,Lymphoid cells,fraction A pre-pro B cell,CL:0002045,F29,female,unknown,17th week post-fertilization human stage,186,2.6286037309214247
26,Lymphoid cells,late pro-B cell,CL:0002048,F29,female,unknown,17th week post-fertilization human stage,454,6.4160542679479935
27,Lymphoid cells,double negative thymocyte,CL:0002489,F29,female,unknown,17th week post-fertilization human stage,1,0.014132278123233465
