,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,SEA-AD,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,CL:4023040,H20.33.019,female,European,human adult stage,11135,59.56775263467608
1,SEA-AD,L5 extratelencephalic projecting glutamatergic cortical neuron,CL:4023041,H20.33.019,female,European,human adult stage,64,0.34237415075161826
2,SEA-AD,L6b glutamatergic cortical neuron,CL:4023038,H20.33.019,female,European,human adult stage,137,0.7328946664526828
3,SEA-AD,astrocyte of the cerebral cortex,CL:0002605,H20.33.019,female,European,human adult stage,1033,5.526132776975339
4,SEA-AD,caudal ganglionic eminence derived GABAergic cortical interneuron,CL:4023070,H20.33.019,female,European,human adult stage,103,0.5510083988658856
5,SEA-AD,cerebral cortex endothelial cell,CL:1001602,H20.33.019,female,European,human adult stage,17,0.09094313379339859
6,SEA-AD,chandelier pvalb GABAergic cortical interneuron,CL:4023036,H20.33.019,female,European,human adult stage,112,0.599154763815332
7,SEA-AD,corticothalamic-projecting glutamatergic cortical neuron,CL:4023013,H20.33.019,female,European,human adult stage,283,1.513935697854812
8,SEA-AD,lamp5 GABAergic cortical interneuron,CL:4023011,H20.33.019,female,European,human adult stage,745,3.985449098593056
9,SEA-AD,microglial cell,CL:0000129,H20.33.019,female,European,human adult stage,391,2.091692077248168
10,SEA-AD,near-projecting glutamatergic cortical neuron,CL:4023012,H20.33.019,female,European,human adult stage,276,1.4764885251163535
11,SEA-AD,oligodendrocyte,CL:0000128,H20.33.019,female,European,human adult stage,1119,5.986198042047826
12,SEA-AD,oligodendrocyte precursor cell,CL:0002453,H20.33.019,female,European,human adult stage,514,2.7496923982239343
13,SEA-AD,pvalb GABAergic cortical interneuron,CL:4023018,H20.33.019,female,European,human adult stage,950,5.082116300219333
14,SEA-AD,sncg GABAergic cortical interneuron,CL:4023015,H20.33.019,female,European,human adult stage,194,1.0378216444658428
15,SEA-AD,sst GABAergic cortical interneuron,CL:4023017,H20.33.019,female,European,human adult stage,504,2.696196437168994
16,SEA-AD,vascular leptomeningeal cell,CL:4023051,H20.33.019,female,European,human adult stage,42,0.22468303643074947
17,SEA-AD,vip GABAergic cortical interneuron,CL:4023016,H20.33.019,female,European,human adult stage,1074,5.745466217300594
