,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Survey of human embryonic development,granule cell,CL:0000120,H27634,male,unknown,16th week post-fertilization human stage,15762,8.360739216227111
1,Survey of human embryonic development,Purkinje cell,CL:0000121,H27634,male,unknown,16th week post-fertilization human stage,58623,31.09577560416711
2,Survey of human embryonic development,stellate neuron,CL:0000122,H27634,male,unknown,16th week post-fertilization human stage,13700,7.266979270543803
3,Survey of human embryonic development,neuron associated cell (sensu Vertebrata),CL:0000123,H27634,male,unknown,16th week post-fertilization human stage,10328,5.478347584392438
4,Survey of human embryonic development,glial cell,CL:0000125,H27634,male,unknown,16th week post-fertilization human stage,4891,2.5943646432284484
5,Survey of human embryonic development,macroglial cell,CL:0000126,H27634,male,unknown,16th week post-fertilization human stage,5096,2.7031041140650527
6,Survey of human embryonic development,astrocyte,CL:0000127,H27634,male,unknown,16th week post-fertilization human stage,38780,20.570325263626913
7,Survey of human embryonic development,oligodendrocyte,CL:0000128,H27634,male,unknown,16th week post-fertilization human stage,2720,1.4427871252466529
8,Survey of human embryonic development,microglial cell,CL:0000129,H27634,male,unknown,16th week post-fertilization human stage,618,0.3278097218391292
9,Survey of human embryonic development,inhibitory interneuron,CL:0000498,H27634,male,unknown,16th week post-fertilization human stage,22787,12.087055229042457
10,Survey of human embryonic development,neuron,CL:0000540,H27634,male,unknown,16th week post-fertilization human stage,3825,2.028919394878106
11,Survey of human embryonic development,neuronal brush cell,CL:0000555,H27634,male,unknown,16th week post-fertilization human stage,9908,5.255564278288175
12,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,H27634,male,unknown,16th week post-fertilization human stage,1486,0.7882285544546052
