,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Construction of a human cell landscape at single-cell level,fibroblast,CL:0000057,Donor52,female,Han Chinese,61-year-old human stage,1,0.010477787091366304
1,Construction of a human cell landscape at single-cell level,epithelial cell,CL:0000066,Donor52,female,Han Chinese,61-year-old human stage,1,0.010477787091366304
2,Construction of a human cell landscape at single-cell level,T cell,CL:0000084,Donor52,female,Han Chinese,61-year-old human stage,20,0.20955574182732606
3,Construction of a human cell landscape at single-cell level,endothelial cell,CL:0000115,Donor52,female,Han Chinese,61-year-old human stage,29,0.3038558256496228
4,Construction of a human cell landscape at single-cell level,astrocyte,CL:0000127,Donor52,female,Han Chinese,61-year-old human stage,684,7.166806370494551
5,Construction of a human cell landscape at single-cell level,oligodendrocyte,CL:0000128,Donor52,female,Han Chinese,61-year-old human stage,5230,54.798826487845766
6,Construction of a human cell landscape at single-cell level,mesenchymal stem cell,CL:0000134,Donor52,female,Han Chinese,61-year-old human stage,1,0.010477787091366304
7,Construction of a human cell landscape at single-cell level,professional antigen presenting cell,CL:0000145,Donor52,female,Han Chinese,61-year-old human stage,19,0.19907795473595977
8,Construction of a human cell landscape at single-cell level,smooth muscle cell,CL:0000192,Donor52,female,Han Chinese,61-year-old human stage,169,1.7707460184409052
9,Construction of a human cell landscape at single-cell level,macrophage,CL:0000235,Donor52,female,Han Chinese,61-year-old human stage,3328,34.870075440067055
10,Construction of a human cell landscape at single-cell level,B cell,CL:0000236,Donor52,female,Han Chinese,61-year-old human stage,2,0.020955574182732608
11,Construction of a human cell landscape at single-cell level,dendritic cell,CL:0000451,Donor52,female,Han Chinese,61-year-old human stage,11,0.11525565800502932
12,Construction of a human cell landscape at single-cell level,stromal cell,CL:0000499,Donor52,female,Han Chinese,61-year-old human stage,3,0.03143336127409891
13,Construction of a human cell landscape at single-cell level,neuron,CL:0000540,Donor52,female,Han Chinese,61-year-old human stage,5,0.052388935456831515
14,Construction of a human cell landscape at single-cell level,monocyte,CL:0000576,Donor52,female,Han Chinese,61-year-old human stage,28,0.2933780385582565
15,Construction of a human cell landscape at single-cell level,neutrophil,CL:0000775,Donor52,female,Han Chinese,61-year-old human stage,13,0.13621123218776193
