,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Construction of a human cell landscape at single-cell level,erythroid progenitor cell,CL:0000038,Donor8,male,Han Chinese,13th week post-fertilization human stage,1,0.03443526170798898
1,Construction of a human cell landscape at single-cell level,epithelial cell,CL:0000066,Donor8,male,Han Chinese,13th week post-fertilization human stage,13,0.4476584022038568
2,Construction of a human cell landscape at single-cell level,endothelial cell,CL:0000115,Donor8,male,Han Chinese,13th week post-fertilization human stage,2,0.06887052341597796
3,Construction of a human cell landscape at single-cell level,mesenchymal stem cell,CL:0000134,Donor8,male,Han Chinese,13th week post-fertilization human stage,6,0.2066115702479339
4,Construction of a human cell landscape at single-cell level,professional antigen presenting cell,CL:0000145,Donor8,male,Han Chinese,13th week post-fertilization human stage,2,0.06887052341597796
5,Construction of a human cell landscape at single-cell level,macrophage,CL:0000235,Donor8,male,Han Chinese,13th week post-fertilization human stage,384,13.223140495867769
6,Construction of a human cell landscape at single-cell level,neuron,CL:0000540,Donor8,male,Han Chinese,13th week post-fertilization human stage,2469,85.02066115702479
7,Construction of a human cell landscape at single-cell level,primordial germ cell,CL:0000670,Donor8,male,Han Chinese,13th week post-fertilization human stage,10,0.34435261707988984
8,Construction of a human cell landscape at single-cell level,erythroid lineage cell,CL:0000764,Donor8,male,Han Chinese,13th week post-fertilization human stage,9,0.30991735537190085
9,Construction of a human cell landscape at single-cell level,neutrophil,CL:0000775,Donor8,male,Han Chinese,13th week post-fertilization human stage,8,0.27548209366391185
