,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,T cell,CL:0000084,N13,female,unknown,human adult stage,3,0.39421813403416556
1,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,mast cell,CL:0000097,N13,female,unknown,human adult stage,1,0.1314060446780552
2,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,goblet cell,CL:0000160,N13,female,unknown,human adult stage,51,6.701708278580814
3,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,enteroendocrine cell,CL:0000164,N13,female,unknown,human adult stage,1,0.1314060446780552
4,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,macrophage,CL:0000235,N13,female,unknown,human adult stage,3,0.39421813403416556
5,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,B cell,CL:0000236,N13,female,unknown,human adult stage,2,0.2628120893561104
6,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,enterocyte,CL:0000584,N13,female,unknown,human adult stage,202,26.544021024967147
7,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,natural killer cell,CL:0000623,N13,female,unknown,human adult stage,2,0.2628120893561104
8,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,plasma cell,CL:0000786,N13,female,unknown,human adult stage,45,5.913272010512484
9,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CL:0000796,N13,female,unknown,human adult stage,45,5.913272010512484
10,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,"CD8-positive, alpha-beta thymocyte",CL:0000811,N13,female,unknown,human adult stage,7,0.9198423127463863
11,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,follicular B cell,CL:0000843,N13,female,unknown,human adult stage,29,3.8107752956636007
12,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,"activated CD4-positive, alpha-beta T cell",CL:0000896,N13,female,unknown,human adult stage,4,0.5256241787122208
13,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,"CD4-positive, alpha-beta memory T cell",CL:0000897,N13,female,unknown,human adult stage,9,1.1826544021024967
14,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,intestinal crypt stem cell,CL:0002250,N13,female,unknown,human adult stage,9,1.1826544021024967
15,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,transit amplifying cell of colon,CL:0009011,N13,female,unknown,human adult stage,347,45.597897503285154
16,Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis,intestinal tuft cell,CL:0019032,N13,female,unknown,human adult stage,1,0.1314060446780552
