,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Trabecular Meshwork and Corneal Scleral wedge,fibroblast,CL:0000057,sanes2022_Hu0220,female,European,47-year-old human stage,1755,14.520933311269237
1,Trabecular Meshwork and Corneal Scleral wedge,blood vessel endothelial cell,CL:0000071,sanes2022_Hu0220,female,European,47-year-old human stage,218,1.8037398643058082
2,Trabecular Meshwork and Corneal Scleral wedge,endothelial cell,CL:0000115,sanes2022_Hu0220,female,European,47-year-old human stage,754,6.238623200397154
3,Trabecular Meshwork and Corneal Scleral wedge,corneal endothelial cell,CL:0000132,sanes2022_Hu0220,female,European,47-year-old human stage,321,2.6559655800099287
4,Trabecular Meshwork and Corneal Scleral wedge,melanocyte,CL:0000148,sanes2022_Hu0220,female,European,47-year-old human stage,996,8.240939930498097
5,Trabecular Meshwork and Corneal Scleral wedge,goblet cell,CL:0000160,sanes2022_Hu0220,female,European,47-year-old human stage,202,1.6713552871090518
6,Trabecular Meshwork and Corneal Scleral wedge,macrophage,CL:0000235,sanes2022_Hu0220,female,European,47-year-old human stage,168,1.3900380605659441
7,Trabecular Meshwork and Corneal Scleral wedge,lymphocyte,CL:0000542,sanes2022_Hu0220,female,European,47-year-old human stage,98,0.8108555353301341
8,Trabecular Meshwork and Corneal Scleral wedge,corneal epithelial cell,CL:0000575,sanes2022_Hu0220,female,European,47-year-old human stage,1458,12.063544597054443
9,Trabecular Meshwork and Corneal Scleral wedge,basal cell,CL:0000646,sanes2022_Hu0220,female,European,47-year-old human stage,2078,17.19344696342876
10,Trabecular Meshwork and Corneal Scleral wedge,pericyte,CL:0000669,sanes2022_Hu0220,female,European,47-year-old human stage,80,0.6619228859837829
11,Trabecular Meshwork and Corneal Scleral wedge,endothelial cell of lymphatic vessel,CL:0002138,sanes2022_Hu0220,female,European,47-year-old human stage,386,3.1937779248717524
12,Trabecular Meshwork and Corneal Scleral wedge,Schwann cell,CL:0002573,sanes2022_Hu0220,female,European,47-year-old human stage,474,3.921893099453914
13,Trabecular Meshwork and Corneal Scleral wedge,conjunctival epithelial cell,CL:1000432,sanes2022_Hu0220,female,European,47-year-old human stage,1575,13.031606817805724
14,Trabecular Meshwork and Corneal Scleral wedge,ciliary muscle cell,CL:1000443,sanes2022_Hu0220,female,European,47-year-old human stage,1523,12.601356941916267
