,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),endothelial cell,CL:0000115,18-162,female,unknown,seventh decade human stage,575,12.067156348373558
1,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),podocyte,CL:0000653,18-162,female,unknown,seventh decade human stage,110,2.308499475341028
2,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),leukocyte,CL:0000738,18-162,female,unknown,seventh decade human stage,206,4.3231899265477445
3,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),epithelial cell of proximal tubule,CL:0002306,18-162,female,unknown,seventh decade human stage,903,18.95068205666317
4,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),neural cell,CL:0002319,18-162,female,unknown,seventh decade human stage,3,0.06295907660020986
5,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),parietal epithelial cell,CL:1000452,18-162,female,unknown,seventh decade human stage,11,0.23084994753410282
6,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney interstitial fibroblast,CL:1000692,18-162,female,unknown,seventh decade human stage,386,8.100734522560336
7,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney connecting tubule epithelial cell,CL:1000768,18-162,female,unknown,seventh decade human stage,163,3.420776495278069
8,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney distal convoluted tubule epithelial cell,CL:1000849,18-162,female,unknown,seventh decade human stage,95,1.993704092339979
9,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,18-162,female,unknown,seventh decade human stage,1249,26.211962224554043
10,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,18-162,female,unknown,seventh decade human stage,1,0.02098635886673662
11,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney loop of Henle thin descending limb epithelial cell,CL:1001111,18-162,female,unknown,seventh decade human stage,332,6.967471143756558
12,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),renal interstitial pericyte,CL:1001318,18-162,female,unknown,seventh decade human stage,173,3.6306400839454356
13,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney collecting duct principal cell,CL:1001431,18-162,female,unknown,seventh decade human stage,327,6.862539349422875
14,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney collecting duct intercalated cell,CL:1001432,18-162,female,unknown,seventh decade human stage,231,4.847848898216159
