,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,endothelial cell,CL:0000115,donor_17,male,European,50-year-old human stage,16303,54.486815280237956
1,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,macrophage,CL:0000235,donor_17,male,European,50-year-old human stage,87,0.29076568296514155
2,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney granular cell,CL:0000648,donor_17,male,European,50-year-old human stage,134,0.4478459944520571
3,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,mesangial cell,CL:0000650,donor_17,male,European,50-year-old human stage,37,0.12365896861735903
4,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,podocyte,CL:0000653,donor_17,male,European,50-year-old human stage,334,1.116272851843187
5,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,leukocyte,CL:0000738,donor_17,male,European,50-year-old human stage,2112,7.0585876140503325
6,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,blood vessel smooth muscle cell,CL:0019018,donor_17,male,European,50-year-old human stage,919,3.0714214097122423
7,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney interstitial fibroblast,CL:1000692,donor_17,male,European,50-year-old human stage,853,2.8508405467731692
8,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney proximal convoluted tubule epithelial cell,CL:1000838,donor_17,male,European,50-year-old human stage,5807,19.407773804351457
9,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney distal convoluted tubule epithelial cell,CL:1000849,donor_17,male,European,50-year-old human stage,1164,3.8902443100163766
10,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,donor_17,male,European,50-year-old human stage,514,1.7178570234952042
11,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney collecting duct principal cell,CL:1001431,donor_17,male,European,50-year-old human stage,1032,3.449082584138231
12,Spatial transcriptomics in the healthy human kidney: Puck_200115_05,kidney collecting duct intercalated cell,CL:1001432,donor_17,male,European,50-year-old human stage,625,2.088833929347281
