,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Fetal Human Gut (6-11 PCW),stem cell,CL:0000034,2121,unknown,unknown,Carnegie stage 23,116,2.595658984112777
1,Fetal Human Gut (6-11 PCW),fibroblast,CL:0000057,2121,unknown,unknown,Carnegie stage 23,812,18.169612888789437
2,Fetal Human Gut (6-11 PCW),epithelial cell,CL:0000066,2121,unknown,unknown,Carnegie stage 23,3,0.06712911165808906
3,Fetal Human Gut (6-11 PCW),mesothelial cell,CL:0000077,2121,unknown,unknown,Carnegie stage 23,14,0.3132691877377489
4,Fetal Human Gut (6-11 PCW),enteroendocrine cell,CL:0000164,2121,unknown,unknown,Carnegie stage 23,40,0.8950548221078541
5,Fetal Human Gut (6-11 PCW),myofibroblast cell,CL:0000186,2121,unknown,unknown,Carnegie stage 23,160,3.5802192884314166
6,Fetal Human Gut (6-11 PCW),mesodermal cell,CL:0000222,2121,unknown,unknown,Carnegie stage 23,1151,25.755202506153502
7,Fetal Human Gut (6-11 PCW),enterocyte,CL:0000584,2121,unknown,unknown,Carnegie stage 23,939,21.011411948981877
8,Fetal Human Gut (6-11 PCW),pericyte,CL:0000669,2121,unknown,unknown,Carnegie stage 23,187,4.184381293354218
9,Fetal Human Gut (6-11 PCW),erythroblast,CL:0000765,2121,unknown,unknown,Carnegie stage 23,82,1.834862385321101
10,Fetal Human Gut (6-11 PCW),hematopoietic cell,CL:0000988,2121,unknown,unknown,Carnegie stage 23,95,2.1257552025061535
11,Fetal Human Gut (6-11 PCW),interstitial cell of Cajal,CL:0002088,2121,unknown,unknown,Carnegie stage 23,135,3.0208100246140077
12,Fetal Human Gut (6-11 PCW),endothelial cell of lymphatic vessel,CL:0002138,2121,unknown,unknown,Carnegie stage 23,14,0.3132691877377489
13,Fetal Human Gut (6-11 PCW),enteric smooth muscle cell,CL:0002504,2121,unknown,unknown,Carnegie stage 23,237,5.303199820989036
14,Fetal Human Gut (6-11 PCW),vein endothelial cell,CL:0002543,2121,unknown,unknown,Carnegie stage 23,180,4.027746699485343
15,Fetal Human Gut (6-11 PCW),enteric neuron,CL:0007011,2121,unknown,unknown,Carnegie stage 23,90,2.0138733497426715
16,Fetal Human Gut (6-11 PCW),neural crest cell,CL:0011012,2121,unknown,unknown,Carnegie stage 23,108,2.416648019691206
17,Fetal Human Gut (6-11 PCW),progenitor cell,CL:0011026,2121,unknown,unknown,Carnegie stage 23,20,0.44752741105392707
18,Fetal Human Gut (6-11 PCW),intestine goblet cell,CL:0019031,2121,unknown,unknown,Carnegie stage 23,35,0.7831729693443723
19,Fetal Human Gut (6-11 PCW),endothelial cell of artery,CL:1000413,2121,unknown,unknown,Carnegie stage 23,51,1.141194898187514
