,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Developing Human Atlas,native cell,CL:0000003,HT-187,female,unknown,15th week post-fertilization human stage,83,2.3353967360720316
1,Developing Human Atlas,epithelial cell,CL:0000066,HT-187,female,unknown,15th week post-fertilization human stage,3,0.08441193021947102
2,Developing Human Atlas,ciliated epithelial cell,CL:0000067,HT-187,female,unknown,15th week post-fertilization human stage,845,23.77602701181767
3,Developing Human Atlas,mesothelial cell,CL:0000077,HT-187,female,unknown,15th week post-fertilization human stage,2,0.056274620146314014
4,Developing Human Atlas,epithelial cell of lung,CL:0000082,HT-187,female,unknown,15th week post-fertilization human stage,208,5.8525604952166566
5,Developing Human Atlas,endothelial cell,CL:0000115,HT-187,female,unknown,15th week post-fertilization human stage,22,0.6190208216094542
6,Developing Human Atlas,glial cell,CL:0000125,HT-187,female,unknown,15th week post-fertilization human stage,40,1.1254924029262803
7,Developing Human Atlas,chondrocyte,CL:0000138,HT-187,female,unknown,15th week post-fertilization human stage,3,0.08441193021947102
8,Developing Human Atlas,enteroendocrine cell,CL:0000164,HT-187,female,unknown,15th week post-fertilization human stage,35,0.9848058525604951
9,Developing Human Atlas,hepatocyte,CL:0000182,HT-187,female,unknown,15th week post-fertilization human stage,6,0.16882386043894204
10,Developing Human Atlas,B cell,CL:0000236,HT-187,female,unknown,15th week post-fertilization human stage,101,2.8418683173888577
11,Developing Human Atlas,basal cell,CL:0000646,HT-187,female,unknown,15th week post-fertilization human stage,1268,35.67810917276309
12,Developing Human Atlas,erythroblast,CL:0000765,HT-187,female,unknown,15th week post-fertilization human stage,126,3.545301069217783
13,Developing Human Atlas,myeloid leukocyte,CL:0000766,HT-187,female,unknown,15th week post-fertilization human stage,104,2.9262802476083283
14,Developing Human Atlas,mature NK T cell,CL:0000814,HT-187,female,unknown,15th week post-fertilization human stage,587,16.516601012943163
15,Developing Human Atlas,mesenchymal cell,CL:0008019,HT-187,female,unknown,15th week post-fertilization human stage,93,2.6167698368036016
16,Developing Human Atlas,peripheral nervous system neuron,CL:2000032,HT-187,female,unknown,15th week post-fertilization human stage,28,0.7878446820483961
