,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Construction of a human cell landscape at single-cell level,fibroblast,CL:0000057,Donor32,male,Han Chinese,56-year-old human stage,3759,43.36640516843563
1,Construction of a human cell landscape at single-cell level,epithelial cell,CL:0000066,Donor32,male,Han Chinese,56-year-old human stage,4,0.046146746654360866
2,Construction of a human cell landscape at single-cell level,stratified epithelial cell,CL:0000079,Donor32,male,Han Chinese,56-year-old human stage,813,9.379326257498846
3,Construction of a human cell landscape at single-cell level,T cell,CL:0000084,Donor32,male,Han Chinese,56-year-old human stage,242,2.7918781725888326
4,Construction of a human cell landscape at single-cell level,mast cell,CL:0000097,Donor32,male,Han Chinese,56-year-old human stage,174,2.007383479464698
5,Construction of a human cell landscape at single-cell level,endothelial cell,CL:0000115,Donor32,male,Han Chinese,56-year-old human stage,738,8.51407475772958
6,Construction of a human cell landscape at single-cell level,mesenchymal stem cell,CL:0000134,Donor32,male,Han Chinese,56-year-old human stage,1,0.011536686663590217
7,Construction of a human cell landscape at single-cell level,endocrine cell,CL:0000163,Donor32,male,Han Chinese,56-year-old human stage,1,0.011536686663590217
8,Construction of a human cell landscape at single-cell level,smooth muscle cell,CL:0000192,Donor32,male,Han Chinese,56-year-old human stage,60,0.6922011998154131
9,Construction of a human cell landscape at single-cell level,macrophage,CL:0000235,Donor32,male,Han Chinese,56-year-old human stage,657,7.579603137978773
10,Construction of a human cell landscape at single-cell level,B cell,CL:0000236,Donor32,male,Han Chinese,56-year-old human stage,385,4.441624365482234
11,Construction of a human cell landscape at single-cell level,dendritic cell,CL:0000451,Donor32,male,Han Chinese,56-year-old human stage,233,2.6880479926165206
12,Construction of a human cell landscape at single-cell level,stromal cell,CL:0000499,Donor32,male,Han Chinese,56-year-old human stage,119,1.3728657129672357
13,Construction of a human cell landscape at single-cell level,monocyte,CL:0000576,Donor32,male,Han Chinese,56-year-old human stage,74,0.8537148131056761
14,Construction of a human cell landscape at single-cell level,basal cell,CL:0000646,Donor32,male,Han Chinese,56-year-old human stage,1233,14.224734656206737
15,Construction of a human cell landscape at single-cell level,neutrophil,CL:0000775,Donor32,male,Han Chinese,56-year-old human stage,42,0.4845408398707891
16,Construction of a human cell landscape at single-cell level,plasma cell,CL:0000786,Donor32,male,Han Chinese,56-year-old human stage,129,1.488232579603138
17,Construction of a human cell landscape at single-cell level,kidney loop of Henle epithelial cell,CL:1000909,Donor32,male,Han Chinese,56-year-old human stage,1,0.011536686663590217
18,Construction of a human cell landscape at single-cell level,cord blood hematopoietic stem cell,CL:2000095,Donor32,male,Han Chinese,56-year-old human stage,3,0.03461005999077065
