,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Ciliary Body,fibroblast,CL:0000057,sanes2022_Hu0220,female,European,47-year-old human stage,1426,16.93586698337292
1,Ciliary Body,blood vessel endothelial cell,CL:0000071,sanes2022_Hu0220,female,European,47-year-old human stage,50,0.5938242280285035
2,Ciliary Body,melanocyte,CL:0000148,sanes2022_Hu0220,female,European,47-year-old human stage,512,6.080760095011876
3,Ciliary Body,macrophage,CL:0000235,sanes2022_Hu0220,female,European,47-year-old human stage,356,4.228028503562945
4,Ciliary Body,lymphocyte,CL:0000542,sanes2022_Hu0220,female,European,47-year-old human stage,23,0.27315914489311166
5,Ciliary Body,pericyte,CL:0000669,sanes2022_Hu0220,female,European,47-year-old human stage,19,0.22565320665083136
6,Ciliary Body,pigmented ciliary epithelial cell,CL:0002303,sanes2022_Hu0220,female,European,47-year-old human stage,2600,30.878859857482183
7,Ciliary Body,non-pigmented ciliary epithelial cell,CL:0002304,sanes2022_Hu0220,female,European,47-year-old human stage,1244,14.774346793349169
8,Ciliary Body,Schwann cell,CL:0002573,sanes2022_Hu0220,female,European,47-year-old human stage,617,7.327790973871734
9,Ciliary Body,ciliary muscle cell,CL:1000443,sanes2022_Hu0220,female,European,47-year-old human stage,1573,18.68171021377672
