,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Trabecular Meshwork and Corneal Scleral wedge,fibroblast,CL:0000057,sanes2022_Hu0216,female,European,66-year-old human stage,3696,29.93682164263729
1,Trabecular Meshwork and Corneal Scleral wedge,blood vessel endothelial cell,CL:0000071,sanes2022_Hu0216,female,European,66-year-old human stage,26,0.2105945245423619
2,Trabecular Meshwork and Corneal Scleral wedge,mast cell,CL:0000097,sanes2022_Hu0216,female,European,66-year-old human stage,41,0.33209136562449376
3,Trabecular Meshwork and Corneal Scleral wedge,endothelial cell,CL:0000115,sanes2022_Hu0216,female,European,66-year-old human stage,103,0.8342783087639721
4,Trabecular Meshwork and Corneal Scleral wedge,corneal endothelial cell,CL:0000132,sanes2022_Hu0216,female,European,66-year-old human stage,26,0.2105945245423619
5,Trabecular Meshwork and Corneal Scleral wedge,melanocyte,CL:0000148,sanes2022_Hu0216,female,European,66-year-old human stage,562,4.552081645877207
6,Trabecular Meshwork and Corneal Scleral wedge,goblet cell,CL:0000160,sanes2022_Hu0216,female,European,66-year-old human stage,1,0.008099789405475457
7,Trabecular Meshwork and Corneal Scleral wedge,macrophage,CL:0000235,sanes2022_Hu0216,female,European,66-year-old human stage,699,5.661752794427345
8,Trabecular Meshwork and Corneal Scleral wedge,lymphocyte,CL:0000542,sanes2022_Hu0216,female,European,66-year-old human stage,173,1.4012635671472542
9,Trabecular Meshwork and Corneal Scleral wedge,basal cell,CL:0000646,sanes2022_Hu0216,female,European,66-year-old human stage,1,0.008099789405475457
10,Trabecular Meshwork and Corneal Scleral wedge,pericyte,CL:0000669,sanes2022_Hu0216,female,European,66-year-old human stage,109,0.8828770451968249
11,Trabecular Meshwork and Corneal Scleral wedge,Schwann cell,CL:0002573,sanes2022_Hu0216,female,European,66-year-old human stage,1707,13.826340515146606
12,Trabecular Meshwork and Corneal Scleral wedge,ciliary muscle cell,CL:1000443,sanes2022_Hu0216,female,European,66-year-old human stage,5202,42.13510448728333
