,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Fallopian tube ATAC,mast cell,CL:0000097,D3_3203,female,European,62-year-old human stage,2,0.08123476848090982
1,Fallopian tube ATAC,endothelial cell,CL:0000115,D3_3203,female,European,62-year-old human stage,365,14.825345247766045
2,Fallopian tube ATAC,secretory cell,CL:0000151,D3_3203,female,European,62-year-old human stage,143,5.808285946385053
3,Fallopian tube ATAC,smooth muscle cell,CL:0000192,D3_3203,female,European,62-year-old human stage,171,6.94557270511779
4,Fallopian tube ATAC,macrophage,CL:0000235,D3_3203,female,European,62-year-old human stage,72,2.924451665312754
5,Fallopian tube ATAC,B cell,CL:0000236,D3_3203,female,European,62-year-old human stage,23,0.934199837530463
6,Fallopian tube ATAC,stromal cell,CL:0000499,D3_3203,female,European,62-year-old human stage,1005,40.82047116165719
7,Fallopian tube ATAC,natural killer cell,CL:0000623,D3_3203,female,European,62-year-old human stage,61,2.4776604386677494
8,Fallopian tube ATAC,pericyte,CL:0000669,D3_3203,female,European,62-year-old human stage,581,23.598700243704304
9,Fallopian tube ATAC,endothelial cell of lymphatic vessel,CL:0002138,D3_3203,female,European,62-year-old human stage,39,1.5840779853777416
