,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Fallopian tube RNA,ciliated epithelial cell,CL:0000067,D6_3369,female,European,61-year-old human stage,204,6.896551724137931
1,Fallopian tube RNA,mast cell,CL:0000097,D6_3369,female,European,61-year-old human stage,24,0.8113590263691683
2,Fallopian tube RNA,endothelial cell,CL:0000115,D6_3369,female,European,61-year-old human stage,454,15.34820824881677
3,Fallopian tube RNA,secretory cell,CL:0000151,D6_3369,female,European,61-year-old human stage,205,6.930358350236647
4,Fallopian tube RNA,smooth muscle cell,CL:0000192,D6_3369,female,European,61-year-old human stage,43,1.4536849222447599
5,Fallopian tube RNA,macrophage,CL:0000235,D6_3369,female,European,61-year-old human stage,33,1.1156186612576064
6,Fallopian tube RNA,B cell,CL:0000236,D6_3369,female,European,61-year-old human stage,14,0.47329276538201487
7,Fallopian tube RNA,stromal cell,CL:0000499,D6_3369,female,European,61-year-old human stage,1479,50.0
8,Fallopian tube RNA,natural killer cell,CL:0000623,D6_3369,female,European,61-year-old human stage,285,9.634888438133874
9,Fallopian tube RNA,pericyte,CL:0000669,D6_3369,female,European,61-year-old human stage,113,3.8201487491548343
10,Fallopian tube RNA,endothelial cell of lymphatic vessel,CL:0002138,D6_3369,female,European,61-year-old human stage,104,3.515889114266396
