,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Human Male,epithelial cell,CL:0000066,Hrv55,male,unknown,17th week post-fertilization human stage,95,0.8147512864493996
1,Human Male,mesothelial cell,CL:0000077,Hrv55,male,unknown,17th week post-fertilization human stage,29,0.24871355060034306
2,Human Male,endothelial cell,CL:0000115,Hrv55,male,unknown,17th week post-fertilization human stage,406,3.481989708404803
3,Human Male,Leydig cell,CL:0000178,Hrv55,male,unknown,17th week post-fertilization human stage,725,6.217838765008576
4,Human Male,Sertoli cell,CL:0000216,Hrv55,male,unknown,17th week post-fertilization human stage,2807,24.073756432247
5,Human Male,germ cell,CL:0000586,Hrv55,male,unknown,17th week post-fertilization human stage,96,0.823327615780446
6,Human Male,supporting cell,CL:0000630,Hrv55,male,unknown,17th week post-fertilization human stage,72,0.6174957118353345
7,Human Male,hematopoietic cell,CL:0000988,Hrv55,male,unknown,17th week post-fertilization human stage,281,2.4099485420240137
8,Human Male,neural cell,CL:0002319,Hrv55,male,unknown,17th week post-fertilization human stage,43,0.3687821612349914
9,Human Male,mesenchymal cell,CL:0008019,Hrv55,male,unknown,17th week post-fertilization human stage,6810,58.40480274442539
10,Human Male,mural cell,CL:0008034,Hrv55,male,unknown,17th week post-fertilization human stage,296,2.5385934819897082
