,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Human Female,epithelial cell,CL:0000066,Hrv37,female,unknown,10th week post-fertilization human stage,413,2.5218293948830675
1,Human Female,mesothelial cell,CL:0000077,Hrv37,female,unknown,10th week post-fertilization human stage,337,2.057763937229041
2,Human Female,endothelial cell,CL:0000115,Hrv37,female,unknown,10th week post-fertilization human stage,353,2.155461928314099
3,Human Female,granulosa cell,CL:0000501,Hrv37,female,unknown,10th week post-fertilization human stage,7007,42.785613970812726
4,Human Female,germ cell,CL:0000586,Hrv37,female,unknown,10th week post-fertilization human stage,357,2.1798864260853636
5,Human Female,supporting cell,CL:0000630,Hrv37,female,unknown,10th week post-fertilization human stage,245,1.4960004884899554
6,Human Female,hematopoietic cell,CL:0000988,Hrv37,female,unknown,10th week post-fertilization human stage,260,1.5875923551321973
7,Human Female,interstitial cell of ovary,CL:0002094,Hrv37,female,unknown,10th week post-fertilization human stage,2194,13.396837027538622
8,Human Female,neural cell,CL:0002319,Hrv37,female,unknown,10th week post-fertilization human stage,40,0.2442449777126458
9,Human Female,somatic cell,CL:0002371,Hrv37,female,unknown,10th week post-fertilization human stage,3,0.018318373328448434
10,Human Female,mesenchymal cell,CL:0008019,Hrv37,female,unknown,10th week post-fertilization human stage,3916,23.911583318068022
11,Human Female,mural cell,CL:0008034,Hrv37,female,unknown,10th week post-fertilization human stage,187,1.141845270806619
12,Human Female,ovarian surface epithelial cell,CL:2000064,Hrv37,female,unknown,10th week post-fertilization human stage,1065,6.503022531599194
