,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,native cell,CL:0000003,F66,male,unknown,15th week post-fertilization human stage,3,0.6097560975609756
1,Myeloid cells,fibroblast,CL:0000057,F66,male,unknown,15th week post-fertilization human stage,26,5.284552845528456
2,Myeloid cells,Kupffer cell,CL:0000091,F66,male,unknown,15th week post-fertilization human stage,5,1.0162601626016259
3,Myeloid cells,granulocyte,CL:0000094,F66,male,unknown,15th week post-fertilization human stage,2,0.40650406504065045
4,Myeloid cells,mast cell,CL:0000097,F66,male,unknown,15th week post-fertilization human stage,15,3.048780487804878
5,Myeloid cells,macrophage,CL:0000235,F66,male,unknown,15th week post-fertilization human stage,281,57.113821138211385
6,Myeloid cells,dendritic cell,CL:0000451,F66,male,unknown,15th week post-fertilization human stage,115,23.3739837398374
7,Myeloid cells,promonocyte,CL:0000559,F66,male,unknown,15th week post-fertilization human stage,2,0.40650406504065045
8,Myeloid cells,monocyte,CL:0000576,F66,male,unknown,15th week post-fertilization human stage,18,3.6585365853658534
9,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F66,male,unknown,15th week post-fertilization human stage,15,3.048780487804878
10,Myeloid cells,hematopoietic multipotent progenitor cell,CL:0000837,F66,male,unknown,15th week post-fertilization human stage,1,0.20325203252032523
11,Myeloid cells,early lymphoid progenitor,CL:0000936,F66,male,unknown,15th week post-fertilization human stage,7,1.4227642276422763
12,Myeloid cells,common dendritic progenitor,CL:0001029,F66,male,unknown,15th week post-fertilization human stage,1,0.20325203252032523
13,Myeloid cells,pre-conventional dendritic cell,CL:0002010,F66,male,unknown,15th week post-fertilization human stage,1,0.20325203252032523
