,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,native cell,CL:0000003,P7,female,European,55-year-old human stage,5,0.17059024223814398
1,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,neuronal receptor cell,CL:0000006,P7,female,European,55-year-old human stage,10,0.34118048447628796
2,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,mast cell,CL:0000097,P7,female,European,55-year-old human stage,8,0.2729443875810304
3,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,cardiac muscle myoblast,CL:0000513,P7,female,European,55-year-old human stage,2099,71.61378369157283
4,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,smooth muscle myoblast,CL:0000514,P7,female,European,55-year-old human stage,96,3.2753326509723646
5,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,pericyte,CL:0000669,P7,female,European,55-year-old human stage,14,0.4776526782668032
6,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,lymphoid lineage restricted progenitor cell,CL:0000838,P7,female,European,55-year-old human stage,4,0.1364721937905152
7,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,immature innate lymphoid cell,CL:0001082,P7,female,European,55-year-old human stage,155,5.288297509382463
8,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,fibroblast of cardiac tissue,CL:0002548,P7,female,European,55-year-old human stage,310,10.576595018764927
9,Visium-control_P7-Spatial multi-omic map of human myocardial infarction,cardiac endothelial cell,CL:0010008,P7,female,European,55-year-old human stage,230,7.847151142954623
