,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
83289,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000003,native cell,540,7.209612817089453
83290,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000057,fibroblast,2020,26.969292389853138
83291,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000097,mast cell,19,0.253671562082777
83292,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000115,endothelial cell,28,0.3738317757009346
83293,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000192,smooth muscle cell,98,1.3084112149532712
83294,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000235,macrophage,287,3.8317757009345796
83295,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000451,dendritic cell,21,0.2803738317757009
83296,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000576,monocyte,1,0.01335113484646195
83297,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000623,natural killer cell,1,0.01335113484646195
83298,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000669,pericyte,1550,20.694259012016023
83299,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",7,0.09345794392523366
83300,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000814,mature NK T cell,2,0.0267022696929239
83301,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",28,0.3738317757009346
83302,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",15,0.20026702269692925
83303,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,2362,31.535380507343124
83304,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,19,0.253671562082777
83305,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0002144,capillary endothelial cell,296,3.9519359145527373
83306,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0002319,neural cell,48,0.6408544726301735
83307,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",2,0.0267022696929239
83308,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:0002543,vein endothelial cell,55,0.7343124165554071
83309,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:1000309,epicardial adipocyte,35,0.46728971962616817
83310,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D2,seventh decade human stage,European,CL:1000413,endothelial cell of artery,56,0.7476635514018692
