,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
83812,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000003,native cell,295
83813,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000057,fibroblast,1174
83814,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000115,endothelial cell,39
83815,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000192,smooth muscle cell,53
83816,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000235,macrophage,196
83817,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000236,B cell,2
83818,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000576,monocyte,3
83819,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000623,natural killer cell,1
83820,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000669,pericyte,430
83821,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000814,mature NK T cell,3
83822,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",6
83823,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",6
83824,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,983
83825,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,13
83826,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0002144,capillary endothelial cell,228
83827,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0002319,neural cell,10
83828,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",2
83829,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:0002543,vein endothelial cell,30
83830,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:1000309,epicardial adipocyte,2
83831,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,interventricular septum,UBERON:0002094,female,D5,eighth decade human stage,European,CL:1000413,endothelial cell of artery,72
