,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
84266,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000003,native cell,871,4.945772528533303
84267,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000057,fibroblast,996,5.655556186474363
84268,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000077,mesothelial cell,230,1.3060019306115496
84269,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000097,mast cell,19,0.10788711600704107
84270,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000115,endothelial cell,606,3.4410311736982573
84271,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000192,smooth muscle cell,543,3.083300210095963
84272,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000235,macrophage,1472,8.358412355913918
84273,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000236,B cell,35,0.1987394242234967
84274,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000451,dendritic cell,33,0.18738288569643974
84275,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000576,monocyte,139,0.7892794276304581
84276,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000623,natural killer cell,329,1.8681505877008688
84277,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000669,pericyte,3226,18.318096644142866
84278,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",132,0.749531542785759
84279,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000814,mature NK T cell,182,1.0334450059621827
84280,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",62,0.3520526943387655
84281,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",202,1.1470103912327523
84282,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",99,0.5621486570893192
84283,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0001054,CD14-positive monocyte,101,0.5735051956163761
84284,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0002129,regular atrial cardiac myocyte,1896,10.765998523649992
84285,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,13,0.0738175004258702
84286,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0002144,capillary endothelial cell,4457,25.308046107546424
84287,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0002319,neural cell,171,0.9709840440633696
84288,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",209,1.1867582760774515
84289,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:0002543,vein endothelial cell,720,4.088353869740503
84290,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:1000309,epicardial adipocyte,44,0.24984384759525297
84291,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D6,eighth decade human stage,European,CL:1000413,endothelial cell of artery,824,4.678893873147465
