,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
83027,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000003,native cell,522
83028,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000057,fibroblast,728
83029,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000077,mesothelial cell,1
83030,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000097,mast cell,7
83031,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000115,endothelial cell,83
83032,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000192,smooth muscle cell,274
83033,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000235,macrophage,321
83034,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000236,B cell,31
83035,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000451,dendritic cell,62
83036,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000576,monocyte,44
83037,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000623,natural killer cell,429
83038,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000669,pericyte,696
83039,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",231
83040,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000814,mature NK T cell,124
83041,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",67
83042,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",125
83043,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",82
83044,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0001054,CD14-positive monocyte,110
83045,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,1025
83046,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,17
83047,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0002144,capillary endothelial cell,1056
83048,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0002319,neural cell,6
83049,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",316
83050,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:0002543,vein endothelial cell,144
83051,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:1000309,epicardial adipocyte,2
83052,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D7,seventh decade human stage,European,CL:1000413,endothelial cell of artery,571
