,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
83673,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000003,native cell,376,4.46184881927139
83674,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000057,fibroblast,893,10.59689094576955
83675,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000077,mesothelial cell,2,0.023733238400379733
83676,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000097,mast cell,22,0.2610656224041771
83677,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000115,endothelial cell,157,1.8630592144298088
83678,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000192,smooth muscle cell,289,3.429452948854871
83679,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000235,macrophage,462,5.482378070487718
83680,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000236,B cell,49,0.5814643408093034
83681,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000451,dendritic cell,72,0.8543965824136703
83682,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000576,monocyte,148,1.7562596416281002
83683,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000623,natural killer cell,153,1.8155927376290495
83684,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000669,pericyte,992,11.771686246588347
83685,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",117,1.3883944464222144
83686,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000814,mature NK T cell,73,0.8662632016138603
83687,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",27,0.3203987184051264
83688,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,D7,seventh decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",64,0.7594636288121515
