,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
84671,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000003,native cell,107,5.004677268475211
84672,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000057,fibroblast,353,16.510757717492986
84673,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000097,mast cell,5,0.23386342376052385
84674,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000115,endothelial cell,44,2.05799812909261
84675,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000192,smooth muscle cell,253,11.833489242282507
84676,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000235,macrophage,108,5.051449953227316
84677,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000236,B cell,17,0.7951356407857811
84678,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000451,dendritic cell,5,0.23386342376052385
84679,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000576,monocyte,8,0.37418147801683815
84680,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000623,natural killer cell,18,0.841908325537886
84681,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000669,pericyte,396,18.52198316183349
84682,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",44,2.05799812909261
84683,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000814,mature NK T cell,8,0.37418147801683815
84684,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",10,0.4677268475210477
84685,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",83,3.882132834424696
84686,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",24,1.1225444340505144
84687,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,6,0.2806361085126286
84688,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0002129,regular atrial cardiac myocyte,258,12.067352666043032
84689,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,6,0.2806361085126286
84690,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0002144,capillary endothelial cell,74,3.4611786716557527
84691,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0002319,neural cell,93,4.349859681945744
84692,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",24,1.1225444340505144
84693,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:0002543,vein endothelial cell,110,5.144995322731525
84694,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:1000309,epicardial adipocyte,20,0.9354536950420954
84695,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H4,sixth decade human stage,European,CL:1000413,endothelial cell of artery,64,2.9934518241347052
