,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,native cell,CL:0000003,HPAP047,male,European,8-year-old human stage,18,0.7582139848357203
1,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,endothelial cell,CL:0000115,HPAP047,male,European,8-year-old human stage,133,5.602358887952822
2,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,type B pancreatic cell,CL:0000169,HPAP047,male,European,8-year-old human stage,141,5.939342881213142
3,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,pancreatic A cell,CL:0000171,HPAP047,male,European,8-year-old human stage,56,2.358887952822241
4,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,pancreatic D cell,CL:0000173,HPAP047,male,European,8-year-old human stage,16,0.6739679865206403
5,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,PP cell,CL:0000696,HPAP047,male,European,8-year-old human stage,19,0.8003369839932603
6,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,pancreatic acinar cell,CL:0002064,HPAP047,male,European,8-year-old human stage,1374,57.87700084245998
7,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,pancreatic ductal cell,CL:0002079,HPAP047,male,European,8-year-old human stage,517,21.777590564448186
8,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,pancreatic stellate cell,CL:0002410,HPAP047,male,European,8-year-old human stage,97,4.085930918281382
9,Multiomics single-cell analysis of human pancreatic islets reveals novel cellular states in health and type 1 diabetes,pancreatic epsilon cell,CL:0005019,HPAP047,male,European,8-year-old human stage,3,0.12636899747262004
