,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),endothelial cell,CL:0000115,18-312,male,unknown,eighth decade human stage,1021,13.131832797427654
1,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),podocyte,CL:0000653,18-312,male,unknown,eighth decade human stage,218,2.8038585209003215
2,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),leukocyte,CL:0000738,18-312,male,unknown,eighth decade human stage,653,8.39871382636656
3,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),epithelial cell of proximal tubule,CL:0002306,18-312,male,unknown,eighth decade human stage,2285,29.38906752411576
4,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),neural cell,CL:0002319,18-312,male,unknown,eighth decade human stage,2,0.02572347266881029
5,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),parietal epithelial cell,CL:1000452,18-312,male,unknown,eighth decade human stage,129,1.6591639871382637
6,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney interstitial fibroblast,CL:1000692,18-312,male,unknown,eighth decade human stage,968,12.45016077170418
7,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney connecting tubule epithelial cell,CL:1000768,18-312,male,unknown,eighth decade human stage,471,6.057877813504823
8,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney distal convoluted tubule epithelial cell,CL:1000849,18-312,male,unknown,eighth decade human stage,345,4.437299035369775
9,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,18-312,male,unknown,eighth decade human stage,657,8.45016077170418
10,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney loop of Henle thin descending limb epithelial cell,CL:1001111,18-312,male,unknown,eighth decade human stage,3,0.03858520900321543
11,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),renal interstitial pericyte,CL:1001318,18-312,male,unknown,eighth decade human stage,478,6.147909967845659
12,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney collecting duct principal cell,CL:1001431,18-312,male,unknown,eighth decade human stage,98,1.2604501607717042
13,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),kidney collecting duct intercalated cell,CL:1001432,18-312,male,unknown,eighth decade human stage,447,5.749196141479099
