,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,native cell,CL:0000003,F45,female,unknown,12th week post-fertilization human stage,4,0.6220839813374806
1,Myeloid cells,hematopoietic stem cell,CL:0000037,F45,female,unknown,12th week post-fertilization human stage,1,0.15552099533437014
2,Myeloid cells,common myeloid progenitor,CL:0000049,F45,female,unknown,12th week post-fertilization human stage,2,0.3110419906687403
3,Myeloid cells,fibroblast,CL:0000057,F45,female,unknown,12th week post-fertilization human stage,8,1.244167962674961
4,Myeloid cells,granulocyte,CL:0000094,F45,female,unknown,12th week post-fertilization human stage,7,1.088646967340591
5,Myeloid cells,mast cell,CL:0000097,F45,female,unknown,12th week post-fertilization human stage,13,2.021772939346812
6,Myeloid cells,macrophage,CL:0000235,F45,female,unknown,12th week post-fertilization human stage,320,49.766718506998444
7,Myeloid cells,dendritic cell,CL:0000451,F45,female,unknown,12th week post-fertilization human stage,104,16.174183514774494
8,Myeloid cells,granulocyte monocyte progenitor cell,CL:0000557,F45,female,unknown,12th week post-fertilization human stage,3,0.46656298600311047
9,Myeloid cells,promonocyte,CL:0000559,F45,female,unknown,12th week post-fertilization human stage,23,3.576982892690513
10,Myeloid cells,monocyte,CL:0000576,F45,female,unknown,12th week post-fertilization human stage,138,21.461897356143076
11,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F45,female,unknown,12th week post-fertilization human stage,13,2.021772939346812
12,Myeloid cells,promyelocyte,CL:0000836,F45,female,unknown,12th week post-fertilization human stage,3,0.46656298600311047
13,Myeloid cells,early lymphoid progenitor,CL:0000936,F45,female,unknown,12th week post-fertilization human stage,1,0.15552099533437014
14,Myeloid cells,myelocyte,CL:0002193,F45,female,unknown,12th week post-fertilization human stage,3,0.46656298600311047
