,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Construction of a human cell landscape at single-cell level,fibroblast,CL:0000057,Donor37,male,Han Chinese,57-year-old human stage,2,0.05196154845414394
1,Construction of a human cell landscape at single-cell level,epithelial cell,CL:0000066,Donor37,male,Han Chinese,57-year-old human stage,635,16.497791634190698
2,Construction of a human cell landscape at single-cell level,T cell,CL:0000084,Donor37,male,Han Chinese,57-year-old human stage,12,0.3117692907248636
3,Construction of a human cell landscape at single-cell level,endothelial cell,CL:0000115,Donor37,male,Han Chinese,57-year-old human stage,458,11.89919459599896
4,Construction of a human cell landscape at single-cell level,professional antigen presenting cell,CL:0000145,Donor37,male,Han Chinese,57-year-old human stage,3,0.0779423226812159
5,Construction of a human cell landscape at single-cell level,endocrine cell,CL:0000163,Donor37,male,Han Chinese,57-year-old human stage,1,0.02598077422707197
6,Construction of a human cell landscape at single-cell level,smooth muscle cell,CL:0000192,Donor37,male,Han Chinese,57-year-old human stage,164,4.260846973239802
7,Construction of a human cell landscape at single-cell level,macrophage,CL:0000235,Donor37,male,Han Chinese,57-year-old human stage,40,1.0392309690828787
8,Construction of a human cell landscape at single-cell level,B cell,CL:0000236,Donor37,male,Han Chinese,57-year-old human stage,7,0.18186541958950378
9,Construction of a human cell landscape at single-cell level,dendritic cell,CL:0000451,Donor37,male,Han Chinese,57-year-old human stage,144,3.7412314886983635
10,Construction of a human cell landscape at single-cell level,stromal cell,CL:0000499,Donor37,male,Han Chinese,57-year-old human stage,2,0.05196154845414394
11,Construction of a human cell landscape at single-cell level,monocyte,CL:0000576,Donor37,male,Han Chinese,57-year-old human stage,25,0.6495193556767992
12,Construction of a human cell landscape at single-cell level,enterocyte,CL:0000584,Donor37,male,Han Chinese,57-year-old human stage,6,0.1558846453624318
13,Construction of a human cell landscape at single-cell level,plasma cell,CL:0000786,Donor37,male,Han Chinese,57-year-old human stage,110,2.8578851649779162
14,Construction of a human cell landscape at single-cell level,alternatively activated macrophage,CL:0000890,Donor37,male,Han Chinese,57-year-old human stage,1,0.02598077422707197
15,Construction of a human cell landscape at single-cell level,epithelial cell of proximal tubule,CL:0002306,Donor37,male,Han Chinese,57-year-old human stage,4,0.10392309690828788
16,Construction of a human cell landscape at single-cell level,renal intercalated cell,CL:0005010,Donor37,male,Han Chinese,57-year-old human stage,605,15.718368407378541
17,Construction of a human cell landscape at single-cell level,kidney loop of Henle epithelial cell,CL:1000909,Donor37,male,Han Chinese,57-year-old human stage,1630,42.348661990127304
