,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,endothelial cell,CL:0000115,donor_22,female,European,64-year-old human stage,4857,45.388281469021585
1,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,macrophage,CL:0000235,donor_22,female,European,64-year-old human stage,21,0.19624334174376226
2,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney granular cell,CL:0000648,donor_22,female,European,64-year-old human stage,15,0.14017381553125877
3,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,mesangial cell,CL:0000650,donor_22,female,European,64-year-old human stage,13,0.12148397346042425
4,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,podocyte,CL:0000653,donor_22,female,European,64-year-old human stage,163,1.5232221287730119
5,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,leukocyte,CL:0000738,donor_22,female,European,64-year-old human stage,466,4.354733202504439
6,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,blood vessel smooth muscle cell,CL:0019018,donor_22,female,European,64-year-old human stage,635,5.934024857489955
7,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney interstitial fibroblast,CL:1000692,donor_22,female,European,64-year-old human stage,337,3.1492383889356135
8,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney proximal convoluted tubule epithelial cell,CL:1000838,donor_22,female,European,64-year-old human stage,2278,21.287730118680496
9,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney distal convoluted tubule epithelial cell,CL:1000849,donor_22,female,European,64-year-old human stage,553,5.16774133258574
10,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,macula densa epithelial cell,CL:1000850,donor_22,female,European,64-year-old human stage,12,0.112139052425007
11,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,donor_22,female,European,64-year-old human stage,516,4.821979254275301
12,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney collecting duct principal cell,CL:1001431,donor_22,female,European,64-year-old human stage,473,4.4201476497523595
13,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,kidney collecting duct intercalated cell,CL:1001432,donor_22,female,European,64-year-old human stage,362,3.382861414821045
