,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Single cell RNA-seq data from normal adult kidney tissue,epithelial cell,CL:0000066,21_019,male,European,53-year-old human stage,2,0.039721946375372394
1,Single cell RNA-seq data from normal adult kidney tissue,T cell,CL:0000084,21_019,male,European,53-year-old human stage,129,2.5620655412115196
2,Single cell RNA-seq data from normal adult kidney tissue,endothelial cell,CL:0000115,21_019,male,European,53-year-old human stage,535,10.625620655412115
3,Single cell RNA-seq data from normal adult kidney tissue,B cell,CL:0000236,21_019,male,European,53-year-old human stage,3,0.05958291956305859
4,Single cell RNA-seq data from normal adult kidney tissue,monocyte,CL:0000576,21_019,male,European,53-year-old human stage,81,1.608738828202582
5,Single cell RNA-seq data from normal adult kidney tissue,natural killer cell,CL:0000623,21_019,male,European,53-year-old human stage,48,0.9533267130089375
6,Single cell RNA-seq data from normal adult kidney tissue,podocyte,CL:0000653,21_019,male,European,53-year-old human stage,4,0.07944389275074479
7,Single cell RNA-seq data from normal adult kidney tissue,leukocyte,CL:0000738,21_019,male,European,53-year-old human stage,8,0.15888778550148958
8,Single cell RNA-seq data from normal adult kidney tissue,plasmacytoid dendritic cell,CL:0000784,21_019,male,European,53-year-old human stage,1,0.019860973187686197
9,Single cell RNA-seq data from normal adult kidney tissue,mature NK T cell,CL:0000814,21_019,male,European,53-year-old human stage,15,0.29791459781529295
10,Single cell RNA-seq data from normal adult kidney tissue,non-classical monocyte,CL:0000875,21_019,male,European,53-year-old human stage,13,0.25819265143992054
11,Single cell RNA-seq data from normal adult kidney tissue,alternatively activated macrophage,CL:0000890,21_019,male,European,53-year-old human stage,21,0.4170804369414101
12,Single cell RNA-seq data from normal adult kidney tissue,cytotoxic T cell,CL:0000910,21_019,male,European,53-year-old human stage,36,0.7149950347567031
13,Single cell RNA-seq data from normal adult kidney tissue,conventional dendritic cell,CL:0000990,21_019,male,European,53-year-old human stage,93,1.8470705064548163
14,Single cell RNA-seq data from normal adult kidney tissue,epithelial cell of proximal tubule,CL:0002306,21_019,male,European,53-year-old human stage,472,9.374379344587885
15,Single cell RNA-seq data from normal adult kidney tissue,parietal epithelial cell,CL:1000452,21_019,male,European,53-year-old human stage,8,0.15888778550148958
16,Single cell RNA-seq data from normal adult kidney tissue,kidney interstitial fibroblast,CL:1000692,21_019,male,European,53-year-old human stage,3,0.05958291956305859
17,Single cell RNA-seq data from normal adult kidney tissue,kidney connecting tubule epithelial cell,CL:1000768,21_019,male,European,53-year-old human stage,36,0.7149950347567031
18,Single cell RNA-seq data from normal adult kidney tissue,kidney distal convoluted tubule epithelial cell,CL:1000849,21_019,male,European,53-year-old human stage,65,1.2909632571996028
19,Single cell RNA-seq data from normal adult kidney tissue,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,21_019,male,European,53-year-old human stage,1358,26.971201588877854
20,Single cell RNA-seq data from normal adult kidney tissue,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,21_019,male,European,53-year-old human stage,606,12.035749751737836
21,Single cell RNA-seq data from normal adult kidney tissue,renal interstitial pericyte,CL:1001318,21_019,male,European,53-year-old human stage,334,6.63356504468719
22,Single cell RNA-seq data from normal adult kidney tissue,kidney collecting duct principal cell,CL:1001431,21_019,male,European,53-year-old human stage,1013,20.11916583912612
23,Single cell RNA-seq data from normal adult kidney tissue,kidney collecting duct intercalated cell,CL:1001432,21_019,male,European,53-year-old human stage,151,2.9990069513406157
