,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Single cell RNA-seq data from normal adult kidney tissue,T cell,CL:0000084,56-ref,male,European,59-year-old human stage,16,0.8337675872850442
1,Single cell RNA-seq data from normal adult kidney tissue,endothelial cell,CL:0000115,56-ref,male,European,59-year-old human stage,178,9.275664408546119
2,Single cell RNA-seq data from normal adult kidney tissue,B cell,CL:0000236,56-ref,male,European,59-year-old human stage,6,0.3126628452318916
3,Single cell RNA-seq data from normal adult kidney tissue,monocyte,CL:0000576,56-ref,male,European,59-year-old human stage,44,2.2928608650338718
4,Single cell RNA-seq data from normal adult kidney tissue,natural killer cell,CL:0000623,56-ref,male,European,59-year-old human stage,28,1.4590932777488275
5,Single cell RNA-seq data from normal adult kidney tissue,podocyte,CL:0000653,56-ref,male,European,59-year-old human stage,10,0.5211047420531527
6,Single cell RNA-seq data from normal adult kidney tissue,leukocyte,CL:0000738,56-ref,male,European,59-year-old human stage,3,0.1563314226159458
7,Single cell RNA-seq data from normal adult kidney tissue,plasmacytoid dendritic cell,CL:0000784,56-ref,male,European,59-year-old human stage,1,0.05211047420531526
8,Single cell RNA-seq data from normal adult kidney tissue,mature NK T cell,CL:0000814,56-ref,male,European,59-year-old human stage,12,0.6253256904637832
9,Single cell RNA-seq data from normal adult kidney tissue,non-classical monocyte,CL:0000875,56-ref,male,European,59-year-old human stage,11,0.5732152162584679
10,Single cell RNA-seq data from normal adult kidney tissue,alternatively activated macrophage,CL:0000890,56-ref,male,European,59-year-old human stage,2,0.10422094841063052
11,Single cell RNA-seq data from normal adult kidney tissue,cytotoxic T cell,CL:0000910,56-ref,male,European,59-year-old human stage,7,0.36477331943720687
12,Single cell RNA-seq data from normal adult kidney tissue,conventional dendritic cell,CL:0000990,56-ref,male,European,59-year-old human stage,24,1.2506513809275663
13,Single cell RNA-seq data from normal adult kidney tissue,epithelial cell of proximal tubule,CL:0002306,56-ref,male,European,59-year-old human stage,216,11.255862428348099
14,Single cell RNA-seq data from normal adult kidney tissue,parietal epithelial cell,CL:1000452,56-ref,male,European,59-year-old human stage,8,0.4168837936425221
15,Single cell RNA-seq data from normal adult kidney tissue,kidney interstitial fibroblast,CL:1000692,56-ref,male,European,59-year-old human stage,1,0.05211047420531526
16,Single cell RNA-seq data from normal adult kidney tissue,kidney connecting tubule epithelial cell,CL:1000768,56-ref,male,European,59-year-old human stage,231,12.037519541427827
17,Single cell RNA-seq data from normal adult kidney tissue,kidney distal convoluted tubule epithelial cell,CL:1000849,56-ref,male,European,59-year-old human stage,123,6.409588327253777
18,Single cell RNA-seq data from normal adult kidney tissue,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,56-ref,male,European,59-year-old human stage,385,20.06253256904638
19,Single cell RNA-seq data from normal adult kidney tissue,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,56-ref,male,European,59-year-old human stage,1,0.05211047420531526
20,Single cell RNA-seq data from normal adult kidney tissue,renal interstitial pericyte,CL:1001318,56-ref,male,European,59-year-old human stage,69,3.595622720166754
21,Single cell RNA-seq data from normal adult kidney tissue,kidney collecting duct principal cell,CL:1001431,56-ref,male,European,59-year-old human stage,247,12.871287128712872
22,Single cell RNA-seq data from normal adult kidney tissue,kidney collecting duct intercalated cell,CL:1001432,56-ref,male,European,59-year-old human stage,296,15.424700364773319
