,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Stromal cells (all non-immune cells),native cell,CL:0000003,F35,female,unknown,Carnegie stage 20,68,1.390593047034765
1,Stromal cells (all non-immune cells),fibroblast,CL:0000057,F35,female,unknown,Carnegie stage 20,172,3.517382413087935
2,Stromal cells (all non-immune cells),epithelial cell,CL:0000066,F35,female,unknown,Carnegie stage 20,321,6.56441717791411
3,Stromal cells (all non-immune cells),mesothelial cell,CL:0000077,F35,female,unknown,Carnegie stage 20,3,0.06134969325153375
4,Stromal cells (all non-immune cells),endothelial cell,CL:0000115,F35,female,unknown,Carnegie stage 20,127,2.5971370143149284
5,Stromal cells (all non-immune cells),glial cell,CL:0000125,F35,female,unknown,Carnegie stage 20,4,0.081799591002045
6,Stromal cells (all non-immune cells),myofibroblast cell,CL:0000186,F35,female,unknown,Carnegie stage 20,102,2.085889570552147
7,Stromal cells (all non-immune cells),smooth muscle cell,CL:0000192,F35,female,unknown,Carnegie stage 20,1,0.02044989775051125
8,Stromal cells (all non-immune cells),vascular associated smooth muscle cell,CL:0000359,F35,female,unknown,Carnegie stage 20,1212,24.785276073619634
9,Stromal cells (all non-immune cells),neuron,CL:0000540,F35,female,unknown,Carnegie stage 20,2,0.0408997955010225
10,Stromal cells (all non-immune cells),skeletal muscle satellite cell,CL:0000594,F35,female,unknown,Carnegie stage 20,4,0.081799591002045
11,Stromal cells (all non-immune cells),interstitial cell of Cajal,CL:0002088,F35,female,unknown,Carnegie stage 20,1,0.02044989775051125
12,Stromal cells (all non-immune cells),epithelial cell of nephron,CL:1000449,F35,female,unknown,Carnegie stage 20,2873,58.75255623721881
