,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,endothelial cell,CL:0000115,donor_16,male,European,56-year-old human stage,11767,39.527696597131246
1,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,macrophage,CL:0000235,donor_16,male,European,56-year-old human stage,757,2.5429137693573853
2,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney granular cell,CL:0000648,donor_16,male,European,56-year-old human stage,50,0.16795995834593033
3,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,mesangial cell,CL:0000650,donor_16,male,European,56-year-old human stage,131,0.4400550908663375
4,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,podocyte,CL:0000653,donor_16,male,European,56-year-old human stage,653,2.19355705599785
5,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,leukocyte,CL:0000738,donor_16,male,European,56-year-old human stage,2556,8.586113070643957
6,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,blood vessel smooth muscle cell,CL:0019018,donor_16,male,European,56-year-old human stage,335,1.1253317209177331
7,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney interstitial fibroblast,CL:1000692,donor_16,male,European,56-year-old human stage,1510,5.072390742047096
8,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney proximal convoluted tubule epithelial cell,CL:1000838,donor_16,male,European,56-year-old human stage,9178,30.83072995397897
9,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney distal convoluted tubule epithelial cell,CL:1000849,donor_16,male,European,56-year-old human stage,886,2.9762504618898853
10,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,macula densa epithelial cell,CL:1000850,donor_16,male,European,56-year-old human stage,58,0.1948335516812792
11,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,donor_16,male,European,56-year-old human stage,362,1.2160300984245356
12,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney collecting duct principal cell,CL:1001431,donor_16,male,European,56-year-old human stage,919,3.0871040343981995
13,Spatial transcriptomics in the healthy human kidney: Puck_200115_01,kidney collecting duct intercalated cell,CL:1001432,donor_16,male,European,56-year-old human stage,607,2.0390338943195943
