,cell_type,donor_id,age,bmi,sex,race,count,percentage
0,Afferent / Efferent Arteriole Endothelial,HBM383.HMFP.349,,,,,8,0.2002
1,Ascending Thin Limb,HBM383.HMFP.349,,,,,23,0.575576
2,Ascending Vasa Recta Endothelial,HBM383.HMFP.349,,,,,1,0.025025
3,Connecting Tubule,HBM383.HMFP.349,,,,,1065,26.6517
4,Connecting Tubule Principal,HBM383.HMFP.349,,,,,1,0.025025
5,Cortical Collecting Duct Intercalated Type A,HBM383.HMFP.349,,,,,6,0.15015
6,Cortical Collecting Duct Principal,HBM383.HMFP.349,,,,,56,1.4014
7,Cortical Thick Ascending Limb,HBM383.HMFP.349,,,,,769,19.2442
8,Cortical Vascular Smooth Muscle / Pericyte,HBM383.HMFP.349,,,,,4,0.1001
9,Descending Thin Limb Type 1,HBM383.HMFP.349,,,,,198,4.95495
10,Descending Thin Limb Type 2,HBM383.HMFP.349,,,,,123,3.07808
11,Descending Vasa Recta Endothelial ,HBM383.HMFP.349,,,,,24,0.600601
12,Distal Convoluted Tubule Type 1,HBM383.HMFP.349,,,,,158,3.95395
13,Fibroblast,HBM383.HMFP.349,,,,,39,0.975976
14,Glomerular Capillary Endothelial,HBM383.HMFP.349,,,,,16,0.4004
15,Inner Medullary Collecting Duct,HBM383.HMFP.349,,,,,612,15.3153
16,Intercalated Type B,HBM383.HMFP.349,,,,,4,0.1001
17,Lymphatic Endothelial,HBM383.HMFP.349,,,,,1,0.025025
18,M2 Macrophage,HBM383.HMFP.349,,,,,1,0.025025
19,Macula Densa,HBM383.HMFP.349,,,,,80,2.002
20,Medullary Fibroblast,HBM383.HMFP.349,,,,,5,0.125125
21,Medullary Thick Ascending Limb,HBM383.HMFP.349,,,,,286,7.15716
22,Mesangial,HBM383.HMFP.349,,,,,2,0.0500501
23,Outer Medullary Collecting Duct Intercalated Type A,HBM383.HMFP.349,,,,,2,0.0500501
24,Outer Medullary Collecting Duct Principal,HBM383.HMFP.349,,,,,3,0.0750751
25,Parietal Epithelial,HBM383.HMFP.349,,,,,7,0.175175
26,Peritubular Capilary Endothelial ,HBM383.HMFP.349,,,,,31,0.775776
27,Podocyte,HBM383.HMFP.349,,,,,36,0.900901
28,Proximal Tubule Epithelial Segment 1,HBM383.HMFP.349,,,,,81,2.02703
29,Proximal Tubule Epithelial Segment 2,HBM383.HMFP.349,,,,,3,0.0750751
30,Proximal Tubule Epithelial Segment 3,HBM383.HMFP.349,,,,,341,8.53353
31,Vascular Smooth Muscle / Pericyte,HBM383.HMFP.349,,,,,10,0.25025
