,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Fetal Human Gut (6-11 PCW),fibroblast,CL:0000057,2026,unknown,unknown,Carnegie stage 23,524,19.736346516007533
1,Fetal Human Gut (6-11 PCW),mesothelial cell,CL:0000077,2026,unknown,unknown,Carnegie stage 23,30,1.1299435028248588
2,Fetal Human Gut (6-11 PCW),enteroendocrine cell,CL:0000164,2026,unknown,unknown,Carnegie stage 23,4,0.15065913370998116
3,Fetal Human Gut (6-11 PCW),myofibroblast cell,CL:0000186,2026,unknown,unknown,Carnegie stage 23,125,4.708097928436912
4,Fetal Human Gut (6-11 PCW),mesodermal cell,CL:0000222,2026,unknown,unknown,Carnegie stage 23,1179,44.40677966101695
5,Fetal Human Gut (6-11 PCW),enterocyte,CL:0000584,2026,unknown,unknown,Carnegie stage 23,2,0.07532956685499058
6,Fetal Human Gut (6-11 PCW),pericyte,CL:0000669,2026,unknown,unknown,Carnegie stage 23,47,1.770244821092279
7,Fetal Human Gut (6-11 PCW),erythroblast,CL:0000765,2026,unknown,unknown,Carnegie stage 23,32,1.2052730696798493
8,Fetal Human Gut (6-11 PCW),hematopoietic cell,CL:0000988,2026,unknown,unknown,Carnegie stage 23,53,1.9962335216572504
9,Fetal Human Gut (6-11 PCW),endothelial cell of lymphatic vessel,CL:0002138,2026,unknown,unknown,Carnegie stage 23,5,0.18832391713747645
10,Fetal Human Gut (6-11 PCW),enteric smooth muscle cell,CL:0002504,2026,unknown,unknown,Carnegie stage 23,294,11.073446327683616
11,Fetal Human Gut (6-11 PCW),vein endothelial cell,CL:0002543,2026,unknown,unknown,Carnegie stage 23,29,1.0922787193973633
12,Fetal Human Gut (6-11 PCW),enteric neuron,CL:0007011,2026,unknown,unknown,Carnegie stage 23,70,2.6365348399246704
13,Fetal Human Gut (6-11 PCW),neural crest cell,CL:0011012,2026,unknown,unknown,Carnegie stage 23,194,7.306967984934086
14,Fetal Human Gut (6-11 PCW),progenitor cell,CL:0011026,2026,unknown,unknown,Carnegie stage 23,50,1.8832391713747645
15,Fetal Human Gut (6-11 PCW),colon epithelial cell,CL:0011108,2026,unknown,unknown,Carnegie stage 23,8,0.3013182674199623
16,Fetal Human Gut (6-11 PCW),endothelial cell of artery,CL:1000413,2026,unknown,unknown,Carnegie stage 23,9,0.3389830508474576
