,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,native cell,CL:0000003,F34,female,unknown,Carnegie stage 23,628,4.752894876258231
1,Myeloid cells,hematopoietic stem cell,CL:0000037,F34,female,unknown,Carnegie stage 23,170,1.2866116703246804
2,Myeloid cells,common myeloid progenitor,CL:0000049,F34,female,unknown,Carnegie stage 23,53,0.4011201089835768
3,Myeloid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F34,female,unknown,Carnegie stage 23,151,1.1428138954060396
4,Myeloid cells,fibroblast,CL:0000057,F34,female,unknown,Carnegie stage 23,4,0.03027321577234542
5,Myeloid cells,Kupffer cell,CL:0000091,F34,female,unknown,Carnegie stage 23,1367,10.345871490199047
6,Myeloid cells,osteoclast,CL:0000092,F34,female,unknown,Carnegie stage 23,1,0.007568303943086355
7,Myeloid cells,granulocyte,CL:0000094,F34,female,unknown,Carnegie stage 23,84,0.6357375312192538
8,Myeloid cells,mast cell,CL:0000097,F34,female,unknown,Carnegie stage 23,90,0.6811473548777719
9,Myeloid cells,macrophage,CL:0000235,F34,female,unknown,Carnegie stage 23,8317,62.945583894649204
10,Myeloid cells,dendritic cell,CL:0000451,F34,female,unknown,Carnegie stage 23,1032,7.810489669265118
11,Myeloid cells,megakaryocyte,CL:0000556,F34,female,unknown,Carnegie stage 23,12,0.09081964731703625
12,Myeloid cells,granulocyte monocyte progenitor cell,CL:0000557,F34,female,unknown,Carnegie stage 23,44,0.33300537349579956
13,Myeloid cells,promonocyte,CL:0000559,F34,female,unknown,Carnegie stage 23,114,0.8627866495118444
14,Myeloid cells,monocyte,CL:0000576,F34,female,unknown,Carnegie stage 23,924,6.993112843411792
15,Myeloid cells,neutrophil,CL:0000775,F34,female,unknown,Carnegie stage 23,1,0.007568303943086355
16,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F34,female,unknown,Carnegie stage 23,59,0.4465299326420949
17,Myeloid cells,promyelocyte,CL:0000836,F34,female,unknown,Carnegie stage 23,26,0.1967759025202452
18,Myeloid cells,hematopoietic multipotent progenitor cell,CL:0000837,F34,female,unknown,Carnegie stage 23,93,0.7038522667070309
19,Myeloid cells,early lymphoid progenitor,CL:0000936,F34,female,unknown,Carnegie stage 23,29,0.21948081434950426
20,Myeloid cells,common dendritic progenitor,CL:0001029,F34,female,unknown,Carnegie stage 23,4,0.03027321577234542
21,Myeloid cells,pre-conventional dendritic cell,CL:0002010,F34,female,unknown,Carnegie stage 23,9,0.06811473548777719
22,Myeloid cells,myelocyte,CL:0002193,F34,female,unknown,Carnegie stage 23,1,0.007568303943086355
