,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Myeloid cells,native cell,CL:0000003,F38,male,unknown,12th week post-fertilization human stage,39,0.6063432835820896
1,Myeloid cells,hematopoietic stem cell,CL:0000037,F38,male,unknown,12th week post-fertilization human stage,189,2.9384328358208958
2,Myeloid cells,common myeloid progenitor,CL:0000049,F38,male,unknown,12th week post-fertilization human stage,35,0.5441542288557214
3,Myeloid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F38,male,unknown,12th week post-fertilization human stage,65,1.0105721393034828
4,Myeloid cells,fibroblast,CL:0000057,F38,male,unknown,12th week post-fertilization human stage,2,0.03109452736318408
5,Myeloid cells,Kupffer cell,CL:0000091,F38,male,unknown,12th week post-fertilization human stage,286,4.446517412935323
6,Myeloid cells,osteoclast,CL:0000092,F38,male,unknown,12th week post-fertilization human stage,1,0.01554726368159204
7,Myeloid cells,granulocyte,CL:0000094,F38,male,unknown,12th week post-fertilization human stage,53,0.8240049751243782
8,Myeloid cells,mast cell,CL:0000097,F38,male,unknown,12th week post-fertilization human stage,33,0.5130597014925373
9,Myeloid cells,macrophage,CL:0000235,F38,male,unknown,12th week post-fertilization human stage,4717,73.33644278606965
10,Myeloid cells,dendritic cell,CL:0000451,F38,male,unknown,12th week post-fertilization human stage,470,7.307213930348258
11,Myeloid cells,granulocyte monocyte progenitor cell,CL:0000557,F38,male,unknown,12th week post-fertilization human stage,11,0.17101990049751245
12,Myeloid cells,promonocyte,CL:0000559,F38,male,unknown,12th week post-fertilization human stage,39,0.6063432835820896
13,Myeloid cells,monocyte,CL:0000576,F38,male,unknown,12th week post-fertilization human stage,376,5.845771144278607
14,Myeloid cells,plasmacytoid dendritic cell,CL:0000784,F38,male,unknown,12th week post-fertilization human stage,15,0.23320895522388058
15,Myeloid cells,promyelocyte,CL:0000836,F38,male,unknown,12th week post-fertilization human stage,18,0.2798507462686567
16,Myeloid cells,hematopoietic multipotent progenitor cell,CL:0000837,F38,male,unknown,12th week post-fertilization human stage,72,1.1194029850746268
17,Myeloid cells,early lymphoid progenitor,CL:0000936,F38,male,unknown,12th week post-fertilization human stage,8,0.12437810945273632
18,Myeloid cells,common dendritic progenitor,CL:0001029,F38,male,unknown,12th week post-fertilization human stage,1,0.01554726368159204
19,Myeloid cells,pre-conventional dendritic cell,CL:0002010,F38,male,unknown,12th week post-fertilization human stage,2,0.03109452736318408
