,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,HSC/progenitor cells,native cell,CL:0000003,F30,male,unknown,14th week post-fertilization human stage,17,2.8192371475953566
1,HSC/progenitor cells,hematopoietic stem cell,CL:0000037,F30,male,unknown,14th week post-fertilization human stage,158,26.202321724709783
2,HSC/progenitor cells,common myeloid progenitor,CL:0000049,F30,male,unknown,14th week post-fertilization human stage,1,0.16583747927031509
3,HSC/progenitor cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F30,male,unknown,14th week post-fertilization human stage,151,25.04145936981758
4,HSC/progenitor cells,megakaryocyte,CL:0000556,F30,male,unknown,14th week post-fertilization human stage,144,23.88059701492537
5,HSC/progenitor cells,granulocyte monocyte progenitor cell,CL:0000557,F30,male,unknown,14th week post-fertilization human stage,5,0.8291873963515755
6,HSC/progenitor cells,promonocyte,CL:0000559,F30,male,unknown,14th week post-fertilization human stage,9,1.4925373134328357
7,HSC/progenitor cells,promyelocyte,CL:0000836,F30,male,unknown,14th week post-fertilization human stage,2,0.33167495854063017
8,HSC/progenitor cells,hematopoietic multipotent progenitor cell,CL:0000837,F30,male,unknown,14th week post-fertilization human stage,59,9.78441127694859
9,HSC/progenitor cells,early lymphoid progenitor,CL:0000936,F30,male,unknown,14th week post-fertilization human stage,18,2.9850746268656714
10,HSC/progenitor cells,fraction A pre-pro B cell,CL:0002045,F30,male,unknown,14th week post-fertilization human stage,38,6.301824212271974
11,HSC/progenitor cells,double negative thymocyte,CL:0002489,F30,male,unknown,14th week post-fertilization human stage,1,0.16583747927031509
