,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,NK/T cells,native cell,CL:0000003,F35,female,unknown,Carnegie stage 20,1,0.12453300124533001
1,NK/T cells,hematopoietic stem cell,CL:0000037,F35,female,unknown,Carnegie stage 20,111,13.823163138231632
2,NK/T cells,common myeloid progenitor,CL:0000049,F35,female,unknown,Carnegie stage 20,2,0.24906600249066002
3,NK/T cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F35,female,unknown,Carnegie stage 20,21,2.6151930261519305
4,NK/T cells,T cell,CL:0000084,F35,female,unknown,Carnegie stage 20,22,2.73972602739726
5,NK/T cells,megakaryocyte,CL:0000556,F35,female,unknown,Carnegie stage 20,1,0.12453300124533001
6,NK/T cells,granulocyte monocyte progenitor cell,CL:0000557,F35,female,unknown,Carnegie stage 20,2,0.24906600249066002
7,NK/T cells,natural killer cell,CL:0000623,F35,female,unknown,Carnegie stage 20,362,45.08094645080946
8,NK/T cells,"double-positive, alpha-beta thymocyte",CL:0000809,F35,female,unknown,Carnegie stage 20,1,0.12453300124533001
9,NK/T cells,hematopoietic multipotent progenitor cell,CL:0000837,F35,female,unknown,Carnegie stage 20,46,5.72851805728518
10,NK/T cells,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F35,female,unknown,Carnegie stage 20,1,0.12453300124533001
11,NK/T cells,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F35,female,unknown,Carnegie stage 20,12,1.4943960149439601
12,NK/T cells,early lymphoid progenitor,CL:0000936,F35,female,unknown,Carnegie stage 20,15,1.86799501867995
13,NK/T cells,innate lymphoid cell,CL:0001065,F35,female,unknown,Carnegie stage 20,46,5.72851805728518
14,NK/T cells,group 3 innate lymphoid cell,CL:0001071,F35,female,unknown,Carnegie stage 20,156,19.42714819427148
15,NK/T cells,fraction A pre-pro B cell,CL:0002045,F35,female,unknown,Carnegie stage 20,1,0.12453300124533001
16,NK/T cells,double negative thymocyte,CL:0002489,F35,female,unknown,Carnegie stage 20,3,0.37359900373599003
