,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Liver,hepatocyte,CL:0000182,P1TLH,male,unknown,44-year-old human stage,102,9.550561797752808
1,Liver,erythrocyte,CL:0000232,P1TLH,male,unknown,44-year-old human stage,1,0.09363295880149813
2,Liver,macrophage,CL:0000235,P1TLH,male,unknown,44-year-old human stage,90,8.426966292134832
3,Liver,B cell,CL:0000236,P1TLH,male,unknown,44-year-old human stage,7,0.6554307116104869
4,Liver,plasma cell,CL:0000786,P1TLH,male,unknown,44-year-old human stage,4,0.37453183520599254
5,Liver,alpha-beta T cell,CL:0000789,P1TLH,male,unknown,44-year-old human stage,288,26.96629213483146
6,Liver,gamma-delta T cell,CL:0000798,P1TLH,male,unknown,44-year-old human stage,71,6.647940074906367
7,Liver,inflammatory macrophage,CL:0000863,P1TLH,male,unknown,44-year-old human stage,183,17.134831460674157
8,Liver,innate lymphoid cell,CL:0001065,P1TLH,male,unknown,44-year-old human stage,96,8.98876404494382
9,Liver,endothelial cell of periportal hepatic sinusoid,CL:0019021,P1TLH,male,unknown,44-year-old human stage,41,3.838951310861423
10,Liver,endothelial cell of hepatic sinusoid,CL:1000398,P1TLH,male,unknown,44-year-old human stage,177,16.573033707865168
11,Liver,cholangiocyte,CL:1000488,P1TLH,male,unknown,44-year-old human stage,8,0.7490636704119851
