,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Human - Lung v2 (HLCA),native cell,CL:0000003,VUHD67,female,unknown,30-year-old human stage,65,0.6440745144669044
1,Human - Lung v2 (HLCA),fibroblast,CL:0000057,VUHD67,female,unknown,30-year-old human stage,188,1.86286167261197
2,Human - Lung v2 (HLCA),T cell,CL:0000084,VUHD67,female,unknown,30-year-old human stage,2786,27.606024573919935
3,Human - Lung v2 (HLCA),mast cell,CL:0000097,VUHD67,female,unknown,30-year-old human stage,37,0.36662703131193025
4,Human - Lung v2 (HLCA),fibrocyte,CL:0000135,VUHD67,female,unknown,30-year-old human stage,3,0.029726516052318665
5,Human - Lung v2 (HLCA),secretory cell,CL:0000151,VUHD67,female,unknown,30-year-old human stage,238,2.358303606817281
6,Human - Lung v2 (HLCA),myofibroblast cell,CL:0000186,VUHD67,female,unknown,30-year-old human stage,5,0.04954419342053111
7,Human - Lung v2 (HLCA),macrophage,CL:0000235,VUHD67,female,unknown,30-year-old human stage,2138,21.185097106619104
8,Human - Lung v2 (HLCA),B cell,CL:0000236,VUHD67,female,unknown,30-year-old human stage,207,2.051129607609988
9,Human - Lung v2 (HLCA),dendritic cell,CL:0000451,VUHD67,female,unknown,30-year-old human stage,144,1.426872770511296
10,Human - Lung v2 (HLCA),monocyte,CL:0000576,VUHD67,female,unknown,30-year-old human stage,1314,13.020214030915579
11,Human - Lung v2 (HLCA),basal cell,CL:0000646,VUHD67,female,unknown,30-year-old human stage,46,0.45580657946888625
12,Human - Lung v2 (HLCA),"NKp46-positive innate lymphoid cell, human",CL:0001076,VUHD67,female,unknown,30-year-old human stage,326,3.230281411018628
13,Human - Lung v2 (HLCA),type I pneumocyte,CL:0002062,VUHD67,female,unknown,30-year-old human stage,316,3.1311930241775663
14,Human - Lung v2 (HLCA),type II pneumocyte,CL:0002063,VUHD67,female,unknown,30-year-old human stage,1344,13.317479191438764
15,Human - Lung v2 (HLCA),endothelial cell of lymphatic vessel,CL:0002138,VUHD67,female,unknown,30-year-old human stage,64,0.6341656757827983
16,Human - Lung v2 (HLCA),capillary endothelial cell,CL:0002144,VUHD67,female,unknown,30-year-old human stage,283,2.804201347602061
17,Human - Lung v2 (HLCA),vein endothelial cell,CL:0002543,VUHD67,female,unknown,30-year-old human stage,101,1.0007927070947285
18,Human - Lung v2 (HLCA),multi-ciliated epithelial cell,CL:0005012,VUHD67,female,unknown,30-year-old human stage,312,3.0915576694411415
19,Human - Lung v2 (HLCA),endothelial cell of artery,CL:1000413,VUHD67,female,unknown,30-year-old human stage,175,1.734046769718589
