,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Developing Human Atlas,native cell,CL:0000003,HT-187,female,unknown,15th week post-fertilization human stage,3,0.023464998044583497
1,Developing Human Atlas,epithelial cell,CL:0000066,HT-187,female,unknown,15th week post-fertilization human stage,15,0.11732499022291748
2,Developing Human Atlas,ciliated epithelial cell,CL:0000067,HT-187,female,unknown,15th week post-fertilization human stage,85,0.6648416112631991
3,Developing Human Atlas,mesothelial cell,CL:0000077,HT-187,female,unknown,15th week post-fertilization human stage,12,0.09385999217833399
4,Developing Human Atlas,epithelial cell of lung,CL:0000082,HT-187,female,unknown,15th week post-fertilization human stage,1027,8.032850997262416
5,Developing Human Atlas,endothelial cell,CL:0000115,HT-187,female,unknown,15th week post-fertilization human stage,638,4.990222917481423
6,Developing Human Atlas,glial cell,CL:0000125,HT-187,female,unknown,15th week post-fertilization human stage,105,0.8212749315604223
7,Developing Human Atlas,chondrocyte,CL:0000138,HT-187,female,unknown,15th week post-fertilization human stage,522,4.0829096597575285
8,Developing Human Atlas,enteroendocrine cell,CL:0000164,HT-187,female,unknown,15th week post-fertilization human stage,36,0.28157997653500194
9,Developing Human Atlas,hepatocyte,CL:0000182,HT-187,female,unknown,15th week post-fertilization human stage,2,0.01564333202972233
10,Developing Human Atlas,B cell,CL:0000236,HT-187,female,unknown,15th week post-fertilization human stage,13,0.10168165819319515
11,Developing Human Atlas,basal cell,CL:0000646,HT-187,female,unknown,15th week post-fertilization human stage,32,0.2502933124755573
12,Developing Human Atlas,pericyte,CL:0000669,HT-187,female,unknown,15th week post-fertilization human stage,660,5.162299569808369
13,Developing Human Atlas,erythroblast,CL:0000765,HT-187,female,unknown,15th week post-fertilization human stage,20,0.1564333202972233
14,Developing Human Atlas,myeloid leukocyte,CL:0000766,HT-187,female,unknown,15th week post-fertilization human stage,112,0.8760265936644505
15,Developing Human Atlas,mature NK T cell,CL:0000814,HT-187,female,unknown,15th week post-fertilization human stage,199,1.5565115369573719
16,Developing Human Atlas,mesenchymal cell,CL:0008019,HT-187,female,unknown,15th week post-fertilization human stage,9275,72.54595228783731
17,Developing Human Atlas,peripheral nervous system neuron,CL:2000032,HT-187,female,unknown,15th week post-fertilization human stage,29,0.22682831443097382
