,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,CL:0000057,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,163,0.898864012352487
1,Tabula Sapiens - All Cells,mesothelial cell,CL:0000077,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,7,0.038601522002867546
2,Tabula Sapiens - All Cells,club cell,CL:0000158,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,983,5.420756589831257
3,Tabula Sapiens - All Cells,myofibroblast cell,CL:0000186,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,8,0.04411602514613434
4,Tabula Sapiens - All Cells,macrophage,CL:0000235,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,3582,19.75295025918165
5,Tabula Sapiens - All Cells,B cell,CL:0000236,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,22,0.12131906915186941
6,Tabula Sapiens - All Cells,vascular associated smooth muscle cell,CL:0000359,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,37,0.2040366163008713
7,Tabula Sapiens - All Cells,dendritic cell,CL:0000451,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,38,0.2095511194441381
8,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",CL:0000624,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,383,2.112054703871181
9,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",CL:0000625,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,393,2.1671997353038495
10,Tabula Sapiens - All Cells,basal cell,CL:0000646,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,2136,11.778978714017867
11,Tabula Sapiens - All Cells,pericyte,CL:0000669,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,192,1.058784603507224
12,Tabula Sapiens - All Cells,basophil,CL:0000767,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,192,1.058784603507224
13,Tabula Sapiens - All Cells,neutrophil,CL:0000775,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,36,0.19852211315760449
14,Tabula Sapiens - All Cells,plasma cell,CL:0000786,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,99,0.5459358111834124
15,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,94,0.5183632954670784
16,Tabula Sapiens - All Cells,classical monocyte,CL:0000860,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,1106,6.099040476453071
17,Tabula Sapiens - All Cells,non-classical monocyte,CL:0000875,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,848,4.67629866549024
18,Tabula Sapiens - All Cells,type I pneumocyte,CL:0002062,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,64,0.3529282011690747
19,Tabula Sapiens - All Cells,type II pneumocyte,CL:0002063,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,4092,22.56534686224771
20,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,18,0.09926105657880224
21,Tabula Sapiens - All Cells,capillary endothelial cell,CL:0002144,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,1310,7.223999117679497
22,Tabula Sapiens - All Cells,respiratory goblet cell,CL:0002370,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,479,2.6414470056247934
23,Tabula Sapiens - All Cells,intermediate monocyte,CL:0002393,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,252,1.3896547921032316
24,Tabula Sapiens - All Cells,adventitial cell,CL:0002503,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,271,1.4944303518253006
25,Tabula Sapiens - All Cells,vein endothelial cell,CL:0002543,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,372,2.0513951692952466
26,Tabula Sapiens - All Cells,bronchial smooth muscle cell,CL:0002598,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,48,0.264696150876806
27,Tabula Sapiens - All Cells,pulmonary ionocyte,CL:0017000,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,19,0.10477555972206905
28,Tabula Sapiens - All Cells,lung ciliated cell,CL:1000271,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,315,1.7370684901290394
29,Tabula Sapiens - All Cells,serous cell of epithelium of bronchus,CL:1000331,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,9,0.04963052828940112
30,Tabula Sapiens - All Cells,endothelial cell of artery,CL:1000413,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,103,0.5679938237564796
31,Tabula Sapiens - All Cells,lung microvascular endothelial cell,CL:2000016,TSP2,female,African American or Afro-Caribbean,61-year-old human stage,463,2.5532149553325243
