,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Survey of human embryonic development,ciliated epithelial cell,CL:0000067,H27464,male,unknown,17th week post-fertilization human stage,336,1.212952600989134
1,Survey of human embryonic development,squamous epithelial cell,CL:0000076,H27464,male,unknown,17th week post-fertilization human stage,69,0.24908848056026858
2,Survey of human embryonic development,mesothelial cell,CL:0000077,H27464,male,unknown,17th week post-fertilization human stage,209,0.7544853976390744
3,Survey of human embryonic development,neuroendocrine cell,CL:0000165,H27464,male,unknown,17th week post-fertilization human stage,146,0.5270567849536117
4,Survey of human embryonic development,stromal cell,CL:0000499,H27464,male,unknown,17th week post-fertilization human stage,10093,36.435507743402766
5,Survey of human embryonic development,megakaryocyte,CL:0000556,H27464,male,unknown,17th week post-fertilization human stage,18,0.06497960362441789
6,Survey of human embryonic development,myeloid cell,CL:0000763,H27464,male,unknown,17th week post-fertilization human stage,501,1.8085989675462981
7,Survey of human embryonic development,innate lymphoid cell,CL:0001065,H27464,male,unknown,17th week post-fertilization human stage,512,1.8483087253167756
8,Survey of human embryonic development,endothelial cell of lymphatic vessel,CL:0002138,H27464,male,unknown,17th week post-fertilization human stage,786,2.837442691599581
9,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,H27464,male,unknown,17th week post-fertilization human stage,1725,6.227212014006715
10,Survey of human embryonic development,epithelial cell of lower respiratory tract,CL:0002632,H27464,male,unknown,17th week post-fertilization human stage,13266,47.889967871195985
11,Survey of human embryonic development,visceromotor neuron,CL:0005025,H27464,male,unknown,17th week post-fertilization human stage,40,0.1443991191653731
