,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Single-cell multiomic profiling of human lungs across age groups,native cell,CL:0000003,D062,male,unknown,31st week post-fertilization human stage,389,8.017312448474856
1,Single-cell multiomic profiling of human lungs across age groups,fibroblast,CL:0000057,D062,male,unknown,31st week post-fertilization human stage,871,17.951360263808738
2,Single-cell multiomic profiling of human lungs across age groups,ciliated cell,CL:0000064,D062,male,unknown,31st week post-fertilization human stage,45,0.9274525968672712
3,Single-cell multiomic profiling of human lungs across age groups,epithelial cell,CL:0000066,D062,male,unknown,31st week post-fertilization human stage,189,3.8953009068425395
4,Single-cell multiomic profiling of human lungs across age groups,T cell,CL:0000084,D062,male,unknown,31st week post-fertilization human stage,231,4.760923330585325
5,Single-cell multiomic profiling of human lungs across age groups,mast cell,CL:0000097,D062,male,unknown,31st week post-fertilization human stage,7,0.1442704039571311
6,Single-cell multiomic profiling of human lungs across age groups,endothelial cell,CL:0000115,D062,male,unknown,31st week post-fertilization human stage,327,6.739488870568838
7,Single-cell multiomic profiling of human lungs across age groups,chondrocyte,CL:0000138,D062,male,unknown,31st week post-fertilization human stage,57,1.1747732893652103
8,Single-cell multiomic profiling of human lungs across age groups,club cell,CL:0000158,D062,male,unknown,31st week post-fertilization human stage,40,0.8244023083264632
9,Single-cell multiomic profiling of human lungs across age groups,myofibroblast cell,CL:0000186,D062,male,unknown,31st week post-fertilization human stage,65,1.3396537510305029
10,Single-cell multiomic profiling of human lungs across age groups,smooth muscle cell,CL:0000192,D062,male,unknown,31st week post-fertilization human stage,64,1.3190436933223413
11,Single-cell multiomic profiling of human lungs across age groups,macrophage,CL:0000235,D062,male,unknown,31st week post-fertilization human stage,291,5.9975267930750205
12,Single-cell multiomic profiling of human lungs across age groups,B cell,CL:0000236,D062,male,unknown,31st week post-fertilization human stage,98,2.019785655399835
13,Single-cell multiomic profiling of human lungs across age groups,vascular associated smooth muscle cell,CL:0000359,D062,male,unknown,31st week post-fertilization human stage,20,0.4122011541632316
14,Single-cell multiomic profiling of human lungs across age groups,dendritic cell,CL:0000451,D062,male,unknown,31st week post-fertilization human stage,25,0.5152514427040396
15,Single-cell multiomic profiling of human lungs across age groups,monocyte,CL:0000576,D062,male,unknown,31st week post-fertilization human stage,348,7.1723000824402305
16,Single-cell multiomic profiling of human lungs across age groups,alveolar macrophage,CL:0000583,D062,male,unknown,31st week post-fertilization human stage,570,11.747732893652103
17,Single-cell multiomic profiling of human lungs across age groups,enucleate erythrocyte,CL:0000595,D062,male,unknown,31st week post-fertilization human stage,5,0.1030502885408079
18,Single-cell multiomic profiling of human lungs across age groups,natural killer cell,CL:0000623,D062,male,unknown,31st week post-fertilization human stage,90,1.8549051937345424
19,Single-cell multiomic profiling of human lungs across age groups,basal cell,CL:0000646,D062,male,unknown,31st week post-fertilization human stage,1,0.020610057708161583
20,Single-cell multiomic profiling of human lungs across age groups,pericyte,CL:0000669,D062,male,unknown,31st week post-fertilization human stage,84,1.7312448474855728
21,Single-cell multiomic profiling of human lungs across age groups,type I pneumocyte,CL:0002062,D062,male,unknown,31st week post-fertilization human stage,441,9.089035449299258
22,Single-cell multiomic profiling of human lungs across age groups,type II pneumocyte,CL:0002063,D062,male,unknown,31st week post-fertilization human stage,533,10.985160758450125
23,Single-cell multiomic profiling of human lungs across age groups,vein endothelial cell,CL:0002543,D062,male,unknown,31st week post-fertilization human stage,38,0.7831821929101401
24,Single-cell multiomic profiling of human lungs across age groups,lung neuroendocrine cell,CL:1000223,D062,male,unknown,31st week post-fertilization human stage,3,0.061830173124484744
25,Single-cell multiomic profiling of human lungs across age groups,endothelial cell of artery,CL:1000413,D062,male,unknown,31st week post-fertilization human stage,20,0.4122011541632316
