,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,The single-cell lung cancer atlas (LuCA) -- core atlas,epithelial cell of lung,CL:0000082,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,27,0.6255792400370713
1,The single-cell lung cancer atlas (LuCA) -- core atlas,mast cell,CL:0000097,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,28,0.6487488415199258
2,The single-cell lung cancer atlas (LuCA) -- core atlas,smooth muscle cell,CL:0000192,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,6,0.13901760889712697
3,The single-cell lung cancer atlas (LuCA) -- core atlas,macrophage,CL:0000235,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,152,3.5217794253938832
4,The single-cell lung cancer atlas (LuCA) -- core atlas,B cell,CL:0000236,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,5,0.11584800741427247
5,The single-cell lung cancer atlas (LuCA) -- core atlas,alveolar macrophage,CL:0000583,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,2076,48.10009267840593
6,The single-cell lung cancer atlas (LuCA) -- core atlas,natural killer cell,CL:0000623,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,2,0.04633920296570899
7,The single-cell lung cancer atlas (LuCA) -- core atlas,"CD4-positive, alpha-beta T cell",CL:0000624,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,10,0.23169601482854493
8,The single-cell lung cancer atlas (LuCA) -- core atlas,"CD8-positive, alpha-beta T cell",CL:0000625,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,3,0.06950880444856349
9,The single-cell lung cancer atlas (LuCA) -- core atlas,myeloid cell,CL:0000763,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,19,0.4402224281742354
10,The single-cell lung cancer atlas (LuCA) -- core atlas,plasma cell,CL:0000786,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,16,0.3707136237256719
11,The single-cell lung cancer atlas (LuCA) -- core atlas,classical monocyte,CL:0000860,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,64,1.4828544949026876
12,The single-cell lung cancer atlas (LuCA) -- core atlas,non-classical monocyte,CL:0000875,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,3,0.06950880444856349
13,The single-cell lung cancer atlas (LuCA) -- core atlas,malignant cell,CL:0001064,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,2,0.04633920296570899
14,The single-cell lung cancer atlas (LuCA) -- core atlas,type I pneumocyte,CL:0002062,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,46,1.065801668211307
15,The single-cell lung cancer atlas (LuCA) -- core atlas,type II pneumocyte,CL:0002063,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,1734,40.1760889712697
16,The single-cell lung cancer atlas (LuCA) -- core atlas,endothelial cell of lymphatic vessel,CL:0002138,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,21,0.48656163113994444
17,The single-cell lung cancer atlas (LuCA) -- core atlas,capillary endothelial cell,CL:0002144,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,1,0.023169601482854494
18,The single-cell lung cancer atlas (LuCA) -- core atlas,CD1c-positive myeloid dendritic cell,CL:0002399,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,30,0.6950880444856349
19,The single-cell lung cancer atlas (LuCA) -- core atlas,vein endothelial cell,CL:0002543,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,41,0.9499536607970344
20,The single-cell lung cancer atlas (LuCA) -- core atlas,fibroblast of lung,CL:0002553,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,1,0.023169601482854494
21,The single-cell lung cancer atlas (LuCA) -- core atlas,multi-ciliated epithelial cell,CL:0005012,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,14,0.3243744207599629
22,The single-cell lung cancer atlas (LuCA) -- core atlas,pulmonary artery endothelial cell,CL:1001568,Reyfman_Misharin_2018_Donor_01,female,unknown,63-year-old human stage,15,0.34754402224281744
