,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,fibroblast,CL:0000057,390C,female,unknown,65-79 year-old human stage,819,5.519611807521229
1,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,ciliated cell,CL:0000064,390C,female,unknown,65-79 year-old human stage,25,0.16848631891090443
2,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,blood vessel endothelial cell,CL:0000071,390C,female,unknown,65-79 year-old human stage,535,3.605607224693355
3,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,T cell,CL:0000084,390C,female,unknown,65-79 year-old human stage,50,0.33697263782180886
4,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,mast cell,CL:0000097,390C,female,unknown,65-79 year-old human stage,2168,14.611133575953634
5,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,secretory cell,CL:0000151,390C,female,unknown,65-79 year-old human stage,41,0.27631756301388327
6,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,muscle cell,CL:0000187,390C,female,unknown,65-79 year-old human stage,272,1.8331311497506404
7,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,macrophage,CL:0000235,390C,female,unknown,65-79 year-old human stage,1802,12.14449386709799
8,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,B cell,CL:0000236,390C,female,unknown,65-79 year-old human stage,212,1.4287639843644695
9,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,dendritic cell,CL:0000451,390C,female,unknown,65-79 year-old human stage,322,2.170103787572449
10,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,monocyte,CL:0000576,390C,female,unknown,65-79 year-old human stage,773,5.209596980725165
11,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,natural killer cell,CL:0000623,390C,female,unknown,65-79 year-old human stage,3737,25.185334950801995
12,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,"CD4-positive, alpha-beta T cell",CL:0000624,390C,female,unknown,65-79 year-old human stage,1756,11.834479040301927
13,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,"CD8-positive, alpha-beta T cell",CL:0000625,390C,female,unknown,65-79 year-old human stage,2293,15.453565170508154
14,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,basal cell,CL:0000646,390C,female,unknown,65-79 year-old human stage,2,0.013478905512872353
15,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,plasma cell,CL:0000786,390C,female,unknown,65-79 year-old human stage,31,0.20892303544952148
