,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,native cell,CL:0000003,D326,male,unknown,31-year-old human stage,1114,21.49334362338414
1,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,fibroblast,CL:0000057,D326,male,unknown,31-year-old human stage,20,0.38587690526721974
2,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,ciliated cell,CL:0000064,D326,male,unknown,31-year-old human stage,336,6.482732008489292
3,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,mast cell,CL:0000097,D326,male,unknown,31-year-old human stage,20,0.38587690526721974
4,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,endothelial cell,CL:0000115,D326,male,unknown,31-year-old human stage,236,4.553347482153193
5,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,secretory cell,CL:0000151,D326,male,unknown,31-year-old human stage,432,8.334941153771947
6,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,goblet cell,CL:0000160,D326,male,unknown,31-year-old human stage,10,0.19293845263360987
7,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,neuroendocrine cell,CL:0000165,D326,male,unknown,31-year-old human stage,12,0.23152614316033185
8,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,macrophage,CL:0000235,D326,male,unknown,31-year-old human stage,46,0.8875168821146054
9,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,B cell,CL:0000236,D326,male,unknown,31-year-old human stage,5,0.09646922631680493
10,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,dendritic cell,CL:0000451,D326,male,unknown,31-year-old human stage,45,0.8682230368512446
11,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,monocyte,CL:0000576,D326,male,unknown,31-year-old human stage,149,2.8747829442407875
12,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,natural killer cell,CL:0000623,D326,male,unknown,31-year-old human stage,98,1.8907968358093767
13,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,basal cell,CL:0000646,D326,male,unknown,31-year-old human stage,2607,50.29905460158209
14,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,pericyte,CL:0000669,D326,male,unknown,31-year-old human stage,18,0.3472892147404978
15,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,plasma cell,CL:0000786,D326,male,unknown,31-year-old human stage,13,0.25081998842369285
16,Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,ionocyte,CL:0005006,D326,male,unknown,31-year-old human stage,22,0.4244645957939417
