,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",fibroblast,CL:0000057,2,male,unknown,46-year-old human stage,97,2.9636419187289946
1,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",endothelial cell,CL:0000115,2,male,unknown,46-year-old human stage,531,16.22364802933089
2,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",club cell,CL:0000158,2,male,unknown,46-year-old human stage,93,2.841429880843263
3,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",myofibroblast cell,CL:0000186,2,male,unknown,46-year-old human stage,10,0.30553009471432935
4,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",B cell,CL:0000236,2,male,unknown,46-year-old human stage,2,0.061106018942865874
5,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",vascular associated smooth muscle cell,CL:0000359,2,male,unknown,46-year-old human stage,30,0.916590284142988
6,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",dendritic cell,CL:0000451,2,male,unknown,46-year-old human stage,3,0.09165902841429881
7,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",lymphocyte,CL:0000542,2,male,unknown,46-year-old human stage,7,0.21387106630003055
8,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",alveolar macrophage,CL:0000583,2,male,unknown,46-year-old human stage,22,0.6721662083715246
9,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",natural killer cell,CL:0000623,2,male,unknown,46-year-old human stage,345,10.540788267644363
10,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",pericyte,CL:0000669,2,male,unknown,46-year-old human stage,342,10.449129239230064
11,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",myeloid leukocyte,CL:0000766,2,male,unknown,46-year-old human stage,7,0.21387106630003055
12,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",neutrophil,CL:0000775,2,male,unknown,46-year-old human stage,4,0.12221203788573175
13,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",mature NK T cell,CL:0000814,2,male,unknown,46-year-old human stage,9,0.27497708524289644
14,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",non-classical monocyte,CL:0000875,2,male,unknown,46-year-old human stage,3,0.09165902841429881
15,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2","naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,2,male,unknown,46-year-old human stage,9,0.27497708524289644
16,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2","naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,2,male,unknown,46-year-old human stage,13,0.3971891231286282
17,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2","plasmacytoid dendritic cell, human",CL:0001058,2,male,unknown,46-year-old human stage,4,0.12221203788573175
18,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",type I pneumocyte,CL:0002062,2,male,unknown,46-year-old human stage,101,3.0858539566147267
19,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",type II pneumocyte,CL:0002063,2,male,unknown,46-year-old human stage,369,11.274060494958754
20,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",endothelial cell of lymphatic vessel,CL:0002138,2,male,unknown,46-year-old human stage,19,0.5805071799572258
21,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",capillary endothelial cell,CL:0002144,2,male,unknown,46-year-old human stage,533,16.284754048273754
22,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",intermediate monocyte,CL:0002393,2,male,unknown,46-year-old human stage,3,0.09165902841429881
23,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",vein endothelial cell,CL:0002543,2,male,unknown,46-year-old human stage,42,1.2832263978001834
24,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",bronchial smooth muscle cell,CL:0002598,2,male,unknown,46-year-old human stage,21,0.6416131989000917
25,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",respiratory basal cell,CL:0002633,2,male,unknown,46-year-old human stage,86,2.6275588145432325
26,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",lung goblet cell,CL:1000143,2,male,unknown,46-year-old human stage,213,6.507791017415215
27,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",lung ciliated cell,CL:1000271,2,male,unknown,46-year-old human stage,331,10.113046135044302
28,"Krasnow Lab Human Lung Cell Atlas, Smart-seq2",endothelial cell of artery,CL:1000413,2,male,unknown,46-year-old human stage,24,0.7332722273143905
