,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Lymphoid cells,native cell,CL:0000003,F78,unknown,unknown,17th week post-fertilization human stage,329,11.01808439383791
1,Lymphoid cells,hematopoietic stem cell,CL:0000037,F78,unknown,unknown,17th week post-fertilization human stage,1,0.03348961821835231
2,Lymphoid cells,common myeloid progenitor,CL:0000049,F78,unknown,unknown,17th week post-fertilization human stage,1,0.03348961821835231
3,Lymphoid cells,megakaryocyte-erythroid progenitor cell,CL:0000050,F78,unknown,unknown,17th week post-fertilization human stage,2,0.06697923643670461
4,Lymphoid cells,T cell,CL:0000084,F78,unknown,unknown,17th week post-fertilization human stage,254,8.506363027461488
5,Lymphoid cells,natural killer cell,CL:0000623,F78,unknown,unknown,17th week post-fertilization human stage,216,7.2337575351640995
6,Lymphoid cells,mature B cell,CL:0000785,F78,unknown,unknown,17th week post-fertilization human stage,13,0.4353650368385801
7,Lymphoid cells,plasma cell,CL:0000786,F78,unknown,unknown,17th week post-fertilization human stage,2,0.06697923643670461
8,Lymphoid cells,"double-positive, alpha-beta thymocyte",CL:0000809,F78,unknown,unknown,17th week post-fertilization human stage,15,0.5023442732752846
9,Lymphoid cells,regulatory T cell,CL:0000815,F78,unknown,unknown,17th week post-fertilization human stage,329,11.01808439383791
10,Lymphoid cells,immature B cell,CL:0000816,F78,unknown,unknown,17th week post-fertilization human stage,8,0.26791694574681846
11,Lymphoid cells,B-1 B cell,CL:0000819,F78,unknown,unknown,17th week post-fertilization human stage,101,3.3824514400535834
12,Lymphoid cells,B-2 B cell,CL:0000822,F78,unknown,unknown,17th week post-fertilization human stage,144,4.822505023442733
13,Lymphoid cells,pro-B cell,CL:0000826,F78,unknown,unknown,17th week post-fertilization human stage,11,0.3683858004018754
14,Lymphoid cells,hematopoietic multipotent progenitor cell,CL:0000837,F78,unknown,unknown,17th week post-fertilization human stage,1,0.03348961821835231
15,Lymphoid cells,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,F78,unknown,unknown,17th week post-fertilization human stage,540,18.08439383791025
16,Lymphoid cells,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,F78,unknown,unknown,17th week post-fertilization human stage,734,24.581379772270594
17,Lymphoid cells,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CL:0000915,F78,unknown,unknown,17th week post-fertilization human stage,41,1.3730743469524447
18,Lymphoid cells,early lymphoid progenitor,CL:0000936,F78,unknown,unknown,17th week post-fertilization human stage,31,1.0381781647689217
19,Lymphoid cells,small pre-B-II cell,CL:0000954,F78,unknown,unknown,17th week post-fertilization human stage,85,2.8466175485599465
20,Lymphoid cells,large pre-B-II cell,CL:0000957,F78,unknown,unknown,17th week post-fertilization human stage,26,0.8707300736771602
21,Lymphoid cells,innate lymphoid cell,CL:0001065,F78,unknown,unknown,17th week post-fertilization human stage,2,0.06697923643670461
22,Lymphoid cells,group 2 innate lymphoid cell,CL:0001069,F78,unknown,unknown,17th week post-fertilization human stage,1,0.03348961821835231
23,Lymphoid cells,group 3 innate lymphoid cell,CL:0001071,F78,unknown,unknown,17th week post-fertilization human stage,66,2.2103148024112524
24,Lymphoid cells,fraction A pre-pro B cell,CL:0002045,F78,unknown,unknown,17th week post-fertilization human stage,7,0.23442732752846618
25,Lymphoid cells,late pro-B cell,CL:0002048,F78,unknown,unknown,17th week post-fertilization human stage,16,0.5358338914936369
26,Lymphoid cells,double negative thymocyte,CL:0002489,F78,unknown,unknown,17th week post-fertilization human stage,10,0.33489618218352313
