,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - Immune,hematopoietic stem cell,CL:0000037,TSP14,male,European,59-year-old human stage,4,0.013252054068380597
1,Tabula Sapiens - Immune,T cell,CL:0000084,TSP14,male,European,59-year-old human stage,3228,10.694407633183143
2,Tabula Sapiens - Immune,mast cell,CL:0000097,TSP14,male,European,59-year-old human stage,15,0.04969520275642724
3,Tabula Sapiens - Immune,erythrocyte,CL:0000232,TSP14,male,European,59-year-old human stage,21,0.06957328385899814
4,Tabula Sapiens - Immune,macrophage,CL:0000235,TSP14,male,European,59-year-old human stage,972,3.2202491386164858
5,Tabula Sapiens - Immune,B cell,CL:0000236,TSP14,male,European,59-year-old human stage,7848,26.000530082162737
6,Tabula Sapiens - Immune,neutrophil,CL:0000775,TSP14,male,European,59-year-old human stage,83,0.2749801219188974
7,Tabula Sapiens - Immune,plasma cell,CL:0000786,TSP14,male,European,59-year-old human stage,2092,6.930824277763054
8,Tabula Sapiens - Immune,mature NK T cell,CL:0000814,TSP14,male,European,59-year-old human stage,256,0.8481314603763582
9,Tabula Sapiens - Immune,regulatory T cell,CL:0000815,TSP14,male,European,59-year-old human stage,692,2.2926053538298437
10,Tabula Sapiens - Immune,mature conventional dendritic cell,CL:0000841,TSP14,male,European,59-year-old human stage,15,0.04969520275642724
11,Tabula Sapiens - Immune,classical monocyte,CL:0000860,TSP14,male,European,59-year-old human stage,56,0.1855287569573284
12,Tabula Sapiens - Immune,non-classical monocyte,CL:0000875,TSP14,male,European,59-year-old human stage,18,0.05963424330771269
13,Tabula Sapiens - Immune,type I NK T cell,CL:0000921,TSP14,male,European,59-year-old human stage,3030,10.038430956798305
14,Tabula Sapiens - Immune,"effector CD4-positive, alpha-beta T cell",CL:0001044,TSP14,male,European,59-year-old human stage,5342,17.69811820832229
15,Tabula Sapiens - Immune,"effector CD8-positive, alpha-beta T cell",CL:0001050,TSP14,male,European,59-year-old human stage,5070,16.79697853167241
16,Tabula Sapiens - Immune,innate lymphoid cell,CL:0001065,TSP14,male,European,59-year-old human stage,1339,4.436125099390406
17,Tabula Sapiens - Immune,intermediate monocyte,CL:0002393,TSP14,male,European,59-year-old human stage,59,0.19546779750861382
18,Tabula Sapiens - Immune,CD141-positive myeloid dendritic cell,CL:0002394,TSP14,male,European,59-year-old human stage,33,0.10932944606413994
19,Tabula Sapiens - Immune,CD1c-positive myeloid dendritic cell,CL:0002399,TSP14,male,European,59-year-old human stage,11,0.03644314868804665
