,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Nasopharynx,ciliated cell,CL:0000064,Control_Participant15,female,unknown,eighth decade human stage,395,74.81060606060606
1,Nasopharynx,squamous epithelial cell,CL:0000076,Control_Participant15,female,unknown,eighth decade human stage,6,1.1363636363636365
2,Nasopharynx,T cell,CL:0000084,Control_Participant15,female,unknown,eighth decade human stage,1,0.1893939393939394
3,Nasopharynx,secretory cell,CL:0000151,Control_Participant15,female,unknown,eighth decade human stage,6,1.1363636363636365
4,Nasopharynx,enteroendocrine cell,CL:0000164,Control_Participant15,female,unknown,eighth decade human stage,1,0.1893939393939394
5,Nasopharynx,"CD8-positive, alpha-beta T cell",CL:0000625,Control_Participant15,female,unknown,eighth decade human stage,8,1.5151515151515151
6,Nasopharynx,basal cell,CL:0000646,Control_Participant15,female,unknown,eighth decade human stage,23,4.356060606060606
7,Nasopharynx,erythroblast,CL:0000765,Control_Participant15,female,unknown,eighth decade human stage,1,0.1893939393939394
8,Nasopharynx,nasal mucosa goblet cell,CL:0002480,Control_Participant15,female,unknown,eighth decade human stage,38,7.196969696969697
9,Nasopharynx,ionocyte,CL:0005006,Control_Participant15,female,unknown,eighth decade human stage,47,8.901515151515152
10,Nasopharynx,multi-ciliated epithelial cell,CL:0005012,Control_Participant15,female,unknown,eighth decade human stage,2,0.3787878787878788
