,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,fibroblast,CL:0000057,R-00646_01,male,unknown,human late adulthood stage,635,66.35318704284221
1,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,T cell,CL:0000084,R-00646_01,male,unknown,human late adulthood stage,30,3.1347962382445136
2,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,mast cell,CL:0000097,R-00646_01,male,unknown,human late adulthood stage,13,1.3584117032392893
3,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,microglial cell,CL:0000129,R-00646_01,male,unknown,human late adulthood stage,1,0.10449320794148381
4,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,melanocyte,CL:0000148,R-00646_01,male,unknown,human late adulthood stage,100,10.44932079414838
5,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,monocyte,CL:0000576,R-00646_01,male,unknown,human late adulthood stage,68,7.105538140020899
6,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,natural killer cell,CL:0000623,R-00646_01,male,unknown,human late adulthood stage,10,1.044932079414838
7,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,pericyte,CL:0000669,R-00646_01,male,unknown,human late adulthood stage,4,0.41797283176593525
8,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,endothelial cell of vascular tree,CL:0002139,R-00646_01,male,unknown,human late adulthood stage,45,4.702194357366771
9,Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution,retinal pigment epithelial cell,CL:0002586,R-00646_01,male,unknown,human late adulthood stage,51,5.329153605015674
