,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,All donors all cell states (in vivo),macrophage,CL:0000235,Hrv100_fetus,unknown,unknown,Carnegie stage 16,5,1.4577259475218658
1,All donors all cell states (in vivo),stromal cell,CL:0000499,Hrv100_fetus,unknown,unknown,Carnegie stage 16,6,1.749271137026239
2,All donors all cell states (in vivo),syncytiotrophoblast cell,CL:0000525,Hrv100_fetus,unknown,unknown,Carnegie stage 16,28,8.16326530612245
3,All donors all cell states (in vivo),natural killer cell,CL:0000623,Hrv100_fetus,unknown,unknown,Carnegie stage 16,1,0.2915451895043732
4,All donors all cell states (in vivo),uterine smooth muscle cell,CL:0002601,Hrv100_fetus,unknown,unknown,Carnegie stage 16,4,1.1661807580174928
5,All donors all cell states (in vivo),extravillous trophoblast,CL:0008036,Hrv100_fetus,unknown,unknown,Carnegie stage 16,111,32.36151603498542
6,All donors all cell states (in vivo),endothelial cell of placenta,CL:0009092,Hrv100_fetus,unknown,unknown,Carnegie stage 16,3,0.8746355685131195
7,All donors all cell states (in vivo),endothelial cell of uterus,CL:0009095,Hrv100_fetus,unknown,unknown,Carnegie stage 16,1,0.2915451895043732
8,All donors all cell states (in vivo),embryonic fibroblast,CL:2000042,Hrv100_fetus,unknown,unknown,Carnegie stage 16,98,28.57142857142857
9,All donors all cell states (in vivo),placental villous trophoblast,CL:2000060,Hrv100_fetus,unknown,unknown,Carnegie stage 16,54,15.743440233236154
10,All donors all cell states (in vivo),Hofbauer cell,CL:3000001,Hrv100_fetus,unknown,unknown,Carnegie stage 16,32,9.329446064139942
