,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,All donors all cell states (in vivo),epithelial cell,CL:0000066,P34_mother,female,unknown,unknown,3958,33.347375516050214
1,All donors all cell states (in vivo),T cell,CL:0000084,P34_mother,female,unknown,unknown,192,1.6176594489847502
2,All donors all cell states (in vivo),granulocyte,CL:0000094,P34_mother,female,unknown,unknown,6,0.050551857780773445
3,All donors all cell states (in vivo),macrophage,CL:0000235,P34_mother,female,unknown,unknown,1963,16.538882803943046
4,All donors all cell states (in vivo),B cell,CL:0000236,P34_mother,female,unknown,unknown,10,0.08425309630128908
5,All donors all cell states (in vivo),dendritic cell,CL:0000451,P34_mother,female,unknown,unknown,99,0.8341056533827619
6,All donors all cell states (in vivo),stromal cell,CL:0000499,P34_mother,female,unknown,unknown,825,6.950880444856349
7,All donors all cell states (in vivo),syncytiotrophoblast cell,CL:0000525,P34_mother,female,unknown,unknown,1,0.008425309630128906
8,All donors all cell states (in vivo),natural killer cell,CL:0000623,P34_mother,female,unknown,unknown,86,0.724576628191086
9,All donors all cell states (in vivo),regulatory T cell,CL:0000815,P34_mother,female,unknown,unknown,27,0.22748336001348052
10,All donors all cell states (in vivo),"group 3 innate lymphoid cell, human",CL:0001078,P34_mother,female,unknown,unknown,441,3.7155615468868484
11,All donors all cell states (in vivo),endothelial cell of lymphatic vessel,CL:0002138,P34_mother,female,unknown,unknown,63,0.5307945066981212
12,All donors all cell states (in vivo),"decidual natural killer cell, human",CL:0002343,P34_mother,female,unknown,unknown,3916,32.9935125115848
13,All donors all cell states (in vivo),uterine smooth muscle cell,CL:0002601,P34_mother,female,unknown,unknown,4,0.033701238520515625
14,All donors all cell states (in vivo),endothelial cell of placenta,CL:0009092,P34_mother,female,unknown,unknown,4,0.033701238520515625
15,All donors all cell states (in vivo),endothelial cell of uterus,CL:0009095,P34_mother,female,unknown,unknown,144,1.2132445867385626
16,All donors all cell states (in vivo),placental villous trophoblast,CL:2000060,P34_mother,female,unknown,unknown,6,0.050551857780773445
17,All donors all cell states (in vivo),Hofbauer cell,CL:3000001,P34_mother,female,unknown,unknown,124,1.0447383941359845
