,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Survey of human embryonic development,native cell,CL:0000003,H27471,female,unknown,15th week post-fertilization human stage,4,0.059189109203906486
1,Survey of human embryonic development,smooth muscle cell,CL:0000192,H27471,female,unknown,15th week post-fertilization human stage,176,2.604320804971885
2,Survey of human embryonic development,stromal cell,CL:0000499,H27471,female,unknown,15th week post-fertilization human stage,2163,32.00651080201243
3,Survey of human embryonic development,syncytiotrophoblast cell,CL:0000525,H27471,female,unknown,15th week post-fertilization human stage,3906,57.798165137614674
4,Survey of human embryonic development,megakaryocyte,CL:0000556,H27471,female,unknown,15th week post-fertilization human stage,9,0.1331754957087896
5,Survey of human embryonic development,myeloid cell,CL:0000763,H27471,female,unknown,15th week post-fertilization human stage,10,0.1479727730097662
6,Survey of human embryonic development,innate lymphoid cell,CL:0001065,H27471,female,unknown,15th week post-fertilization human stage,3,0.04439183190292986
7,Survey of human embryonic development,endothelial cell of vascular tree,CL:0002139,H27471,female,unknown,15th week post-fertilization human stage,384,5.682154483575022
8,Survey of human embryonic development,trophoblast giant cell,CL:0002488,H27471,female,unknown,15th week post-fertilization human stage,45,0.665877478543948
9,Survey of human embryonic development,extravillous trophoblast,CL:0008036,H27471,female,unknown,15th week post-fertilization human stage,56,0.8286475288546906
10,Survey of human embryonic development,chorionic trophoblast cell,CL:0011101,H27471,female,unknown,15th week post-fertilization human stage,2,0.029594554601953243
