,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,An integrated cell atlas of the human lung in health and disease (core),club cell,CL:0000158,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,74,4.169014084507042
1,An integrated cell atlas of the human lung in health and disease (core),acinar cell,CL:0000622,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,9,0.5070422535211268
2,An integrated cell atlas of the human lung in health and disease (core),"CD4-positive, alpha-beta T cell",CL:0000624,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,1,0.056338028169014086
3,An integrated cell atlas of the human lung in health and disease (core),brush cell of trachebronchial tree,CL:0002075,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,13,0.7323943661971831
4,An integrated cell atlas of the human lung in health and disease (core),ciliated columnar cell of tracheobronchial tree,CL:0002145,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,185,10.422535211267606
5,An integrated cell atlas of the human lung in health and disease (core),nasal mucosa goblet cell,CL:0002480,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,16,0.9014084507042254
6,An integrated cell atlas of the human lung in health and disease (core),epithelial cell of lower respiratory tract,CL:0002632,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,3,0.16901408450704225
7,An integrated cell atlas of the human lung in health and disease (core),respiratory basal cell,CL:0002633,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,1435,80.84507042253522
8,An integrated cell atlas of the human lung in health and disease (core),ionocyte,CL:0005006,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,3,0.16901408450704225
9,An integrated cell atlas of the human lung in health and disease (core),multi-ciliated epithelial cell,CL:0005012,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,7,0.39436619718309857
10,An integrated cell atlas of the human lung in health and disease (core),lung neuroendocrine cell,CL:1000223,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,3,0.16901408450704225
11,An integrated cell atlas of the human lung in health and disease (core),bronchial goblet cell,CL:1000312,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,7,0.39436619718309857
12,An integrated cell atlas of the human lung in health and disease (core),respiratory hillock cell,CL:4030023,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,female,European,35-year-old human stage,19,1.0704225352112675
